Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,5.42,5.59,5.36,5.59,9200,5.59
2016-10-06,5.42,5.565,5.39,5.41,18700,5.41
2016-10-05,5.62,5.82,5.55,5.80,33900,5.80
2016-10-04,5.81,6.04,5.75,5.861,4800,5.861
2016-10-03,5.94,6.10,5.80,5.83,11800,5.83
2016-09-30,5.74,5.93,5.59,5.88,33700,5.88
2016-09-29,5.96,5.96,5.584,5.78,29600,5.78
2016-09-28,5.54,5.78,5.54,5.67,53300,5.67
2016-09-27,5.73,5.89,5.50,5.505,62000,5.505
2016-09-26,5.74,5.92,5.67,5.91,26700,5.91
2016-09-23,5.60,5.88,5.42,5.80,64700,5.80
2016-09-22,5.80,5.93,5.48,5.62,64200,5.62
2016-09-21,5.91,5.93,5.80,5.89,16800,5.89
2016-09-20,5.90,6.04,5.84,5.99,37900,5.99
2016-09-19,6.00,6.02,5.893,5.95,19300,5.95
2016-09-16,5.98,6.05,5.87,6.00,12000,6.00
2016-09-15,5.984,6.09,5.87,6.09,15100,6.09
2016-09-14,6.03,6.05,5.90,6.05,24200,6.05
2016-09-13,5.88,6.05,5.86,6.05,4400,6.05
2016-09-12,5.94,6.03,5.926,5.99,6700,5.99
2016-09-09,6.05,6.15,5.93,6.07,34500,6.07
2016-09-08,6.21,6.36,6.19,6.35,45500,6.35
2016-09-07,6.24,6.30,6.06,6.18,37300,6.18
2016-09-06,6.23,6.36,6.06,6.32,64300,6.32
2016-09-02,6.25,6.25,6.07,6.17,20900,6.17
2016-09-01,6.27,6.27,6.09,6.20,50700,6.20
2016-08-31,6.07,6.09,6.03,6.04,27900,6.04
2016-08-30,6.06,6.11,6.01,6.07,29000,6.07
2016-08-29,6.06,6.09,5.86,6.00,21100,6.00
2016-08-26,6.15,6.15,6.001,6.02,49600,6.02
2016-08-25,6.05,6.19,6.02,6.19,105900,6.19
2016-08-24,6.14,6.33,5.97,6.10,40500,6.10
2016-08-23,6.04,6.18,6.04,6.14,21500,6.14
2016-08-22,6.18,6.18,6.04,6.09,103800,6.09
2016-08-19,5.78,5.985,5.30,5.92,30000,5.92
2016-08-18,5.921,5.98,5.79,5.82,16000,5.82
2016-08-17,5.97,5.97,5.80,5.93,13700,5.93
2016-08-16,6.05,6.05,5.87,5.95,34300,5.95
2016-08-15,6.07,6.07,5.89,5.99,65500,5.99
2016-08-12,5.83,5.89,5.78,5.89,17700,5.89
2016-08-11,5.86,5.89,5.81,5.87,21300,5.87
2016-08-10,5.77,5.85,5.395,5.78,16900,5.78
2016-08-09,5.86,5.86,5.72,5.83,18700,5.83
2016-08-08,5.86,5.86,5.81,5.81,52000,5.81
2016-08-05,5.57,5.733,5.52,5.72,23300,5.72
2016-08-04,5.68,5.82,5.50,5.54,126000,5.54
2016-08-03,5.71,5.71,5.52,5.66,60900,5.66
2016-08-02,5.60,5.64,5.39,5.55,32500,5.55
2016-08-01,5.72,5.82,5.44,5.72,129900,5.72
2016-07-29,4.98,5.34,4.975,5.12,52900,5.12
2016-07-28,4.90,5.283,4.85,4.975,22500,4.975
2016-07-27,4.62,4.63,4.62,4.62,4200,4.62
2016-07-26,4.63,4.69,4.58,4.62,17600,4.62
2016-07-25,4.47,4.47,4.47,4.47,100,4.47
2016-07-22,4.51,4.51,4.51,4.51,100,4.51
2016-07-21,4.52,4.52,4.52,4.52,000,4.52
2016-07-20,4.307,4.52,4.307,4.52,700,4.52
2016-07-19,4.43,4.43,4.43,4.43,000,4.43
2016-07-18,4.45,4.45,4.39,4.43,2200,4.43
2016-07-15,4.48,4.48,4.48,4.48,1000,4.48
2016-07-14,4.49,4.49,4.28,4.42,1900,4.42
2016-07-13,4.57,4.57,4.25,4.38,1300,4.38
2016-07-12,4.35,4.39,4.35,4.39,1300,4.39
2016-07-11,4.45,4.45,4.45,4.45,000,4.45
2016-07-08,4.35,4.45,4.30,4.45,1300,4.45
2016-07-07,4.43,4.59,4.14,4.40,12600,4.40
2016-07-06,4.38,4.42,4.38,4.41,700,4.41
2016-07-05,4.42,4.61,4.39,4.60,4500,4.60
2016-07-01,4.58,4.61,4.55,4.61,5400,4.61
2016-06-30,4.46,4.60,4.46,4.599,2400,4.599
2016-06-29,4.40,4.40,4.40,4.40,400,4.40
2016-06-28,4.51,4.51,4.51,4.51,300,4.51
2016-06-27,4.34,4.55,4.34,4.35,900,4.35
2016-06-24,4.31,4.59,4.31,4.59,400,4.59
2016-06-23,4.48,4.62,4.47,4.62,900,4.62
2016-06-22,4.251,4.57,4.25,4.57,4700,4.57
2016-06-21,4.44,4.57,4.25,4.57,1700,4.57
2016-06-20,4.53,4.64,4.47,4.64,3300,4.64
2016-06-17,4.59,4.60,4.37,4.60,11900,4.60
2016-06-16,4.42,4.59,4.29,4.29,2800,4.29
2016-06-15,4.60,4.63,4.60,4.60,6400,4.60
2016-06-14,4.62,4.63,4.62,4.63,300,4.63
2016-06-13,4.56,4.56,4.428,4.50,7000,4.50
2016-06-10,4.59,4.59,4.485,4.51,1400,4.51
2016-06-09,4.82,4.86,4.48,4.63,16200,4.63
2016-06-08,4.71,4.89,4.71,4.88,18400,4.88
2016-06-07,4.80,4.80,4.57,4.64,3200,4.64
2016-06-06,4.90,4.91,4.38,4.84,37900,4.84
2016-06-03,4.60,4.67,4.60,4.64,8000,4.64
2016-06-02,4.34,4.70,4.34,4.56,17300,4.56
2016-06-01,4.32,4.38,4.10,4.38,15600,4.38
2016-05-31,4.27,4.41,4.01,4.375,3600,4.375
2016-05-27,3.80,3.96,3.80,3.96,600,3.96
2016-05-26,3.63,3.78,3.541,3.779,4400,3.779
2016-05-25,3.69,3.69,3.69,3.69,000,3.69
2016-05-24,3.44,3.79,3.44,3.69,6800,3.69
2016-05-23,3.72,3.72,3.72,3.72,700,3.72
2016-05-20,3.55,3.90,3.55,3.69,1200,3.69
2016-05-19,3.62,3.62,3.62,3.62,000,3.62
2016-05-18,3.64,3.64,3.58,3.62,2400,3.62
2016-05-17,3.43,3.71,3.40,3.70,13000,3.70
2016-05-16,3.26,3.41,3.26,3.40,8100,3.40
2016-05-13,3.13,3.18,3.13,3.18,2900,3.18
2016-05-12,3.15,3.15,3.03,3.14,15400,3.14
2016-05-11,3.20,3.23,3.14,3.16,25300,3.16
2016-05-10,3.37,3.41,3.09,3.28,30000,3.28
2016-05-09,3.512,3.512,3.30,3.41,23000,3.41
2016-05-06,3.36,3.61,3.36,3.54,4300,3.54
2016-05-05,3.465,3.48,3.40,3.47,11600,3.47
