AA,COLUMN-LME's new COT report; a beginner's guide: Andy Home (The opinions expressed here are those of the author, a columnist for Reuters.) 
AGN,Ackman says he remains committed to Valeant's bid for AllerganUPDATE 1-Ackman says he remains committed to Valeant's bid for AllerganAckman says he remains committed to Valeant's bid for Allergan BOSTON Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done.  Ackman says he remains committed to Valeant's bid for Allergan BOSTON Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done. BOSTON, Aug 13 Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done.Ackman says he remains committed to Valeant's bid for Allergan BOSTON Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done.   UPDATE 1-Ackman says he remains committed to Valeant's bid for AllerganAckman says he remains committed to Valeant's bid for Allergan BOSTON Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done.  Ackman says he remains committed to Valeant's bid for Allergan BOSTON Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done. BOSTON, Aug 13 Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done.Ackman says he remains committed to Valeant's bid for Allergan BOSTON Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done.  BOSTON, Aug 13 Billionaire hedge fund manager William Ackman told investors on Wednesday that his firm remains committed to pushing ahead on Valeant's bid for rival Allergan and that the firm is still aiming to list one of its funds on an exchange this year.UPDATE 1-Ackman says he remains committed to Valeant's bid for AllerganAckman says he remains committed to Valeant's bid for Allergan BOSTON Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done.  Ackman says he remains committed to Valeant's bid for Allergan BOSTON Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done. BOSTON, Aug 13 Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done.Ackman says he remains committed to Valeant's bid for Allergan BOSTON Billionaire investor William Ackman is digging in on getting a hostile takeover bid for Botox maker Allergan Inc. done.   
GOOGL,UPDATE 1-Amazon.com takes on PayPal, Square with credit card readerAmerican Apparel appoints Google executive Laura Lee to board Aug 13 Struggling retailer American Apparel Inc  named Google Inc executive Laura Lee as the second woman director on its board.  American Apparel appoints Google executive Laura Lee to board Aug 13 Struggling retailer American Apparel Inc  named Google Inc executive Laura Lee as the second woman director on its board. SAN FRANCISCO, Aug 13 Amazon.com Inc  unveiled a $10 credit-card reader and mobile app for businesses on Wednesday, expanding further into bricks-and-mortar retail and the rapidly evolving mobile payments arena.American Apparel appoints Google executive Laura Lee to board Aug 13 Struggling retailer American Apparel Inc  named Google Inc executive Laura Lee as the second woman director on its board.  
GOOG,UPDATE 1-Amazon.com takes on PayPal, Square with credit card readerAmerican Apparel appoints Google executive Laura Lee to board Aug 13 Struggling retailer American Apparel Inc  named Google Inc executive Laura Lee as the second woman director on its board.  American Apparel appoints Google executive Laura Lee to board Aug 13 Struggling retailer American Apparel Inc  named Google Inc executive Laura Lee as the second woman director on its board. SAN FRANCISCO, Aug 13 Amazon.com Inc  unveiled a $10 credit-card reader and mobile app for businesses on Wednesday, expanding further into bricks-and-mortar retail and the rapidly evolving mobile payments arena.American Apparel appoints Google executive Laura Lee to board Aug 13 Struggling retailer American Apparel Inc  named Google Inc executive Laura Lee as the second woman director on its board.  
