AGN,As hunt for Allergan drags on, some Valeant owners have doubts NEW YORK/BOSTON A few months ago, an innovative partnership between Valeant Pharmaceuticals  and billionaire investor William Ackman to buy Botox maker Allergan Inc  looked like a blueprint for success. Now some Valeant shareholders who backed the deal at its start are questioning whether it will become reality. 
GOOGL,INDIA PRESS-Google to mentor Indian companies-Times of IndiaVerizon in talks to launch new app store -industry websiteUPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.  UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store. WASHINGTON, Aug 20 Verizon Communications Inc  is planning to launch a mobile software store that could present a third alternative in a market long-dominated by Apple Inc and Google Inc, according to The Information, an industry website.UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.   Verizon in talks to launch new app store -industry websiteUPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.  UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store. WASHINGTON, Aug 20 Verizon Communications Inc  is planning to launch a mobile software store that could present a third alternative in a market long-dominated by Apple Inc and Google Inc, according to The Information, an industry website.UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.  Note: Reuters has not verified this story and does not vouch for its accuracy.   (Compiled by Aby Jose Koilparambil in Bangalore)Verizon in talks to launch new app store -industry websiteUPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.  UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store. WASHINGTON, Aug 20 Verizon Communications Inc  is planning to launch a mobile software store that could present a third alternative in a market long-dominated by Apple Inc and Google Inc, according to The Information, an industry website.UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.   
GOOG,INDIA PRESS-Google to mentor Indian companies-Times of IndiaVerizon in talks to launch new app store -industry websiteUPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.  UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store. WASHINGTON, Aug 20 Verizon Communications Inc  is planning to launch a mobile software store that could present a third alternative in a market long-dominated by Apple Inc and Google Inc, according to The Information, an industry website.UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.   Verizon in talks to launch new app store -industry websiteUPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.  UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store. WASHINGTON, Aug 20 Verizon Communications Inc  is planning to launch a mobile software store that could present a third alternative in a market long-dominated by Apple Inc and Google Inc, according to The Information, an industry website.UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.  Note: Reuters has not verified this story and does not vouch for its accuracy.   (Compiled by Aby Jose Koilparambil in Bangalore)Verizon in talks to launch new app store -industry websiteUPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.  UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store. WASHINGTON, Aug 20 Verizon Communications Inc  is planning to launch a mobile software store that could present a third alternative in a market long-dominated by Apple Inc and Google Inc, according to The Information, an industry website.UPDATE 1-Verizon denies it plans to open new app store WASHINGTON, Aug 20 Verizon Communications Inc  denied a report on Wednesday it was in talks with carriers and hardware manufacturers to open a new mobile software store.   
AMZN,BRIEF-British Land sells 52 Poland Street to Amazon PropertyAmazon enters free trade zone to boost offering in China -XinhuaUPDATE 1-Amazon enters Shanghai free trade zone to boost offering in ChinaCORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter) BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, the company said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)   UPDATE 1-Amazon enters Shanghai free trade zone to boost offering in ChinaCORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter) BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, the company said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, state media said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.UPDATE 1-Amazon enters Shanghai free trade zone to boost offering in ChinaCORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter) BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, the company said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)    Amazon enters free trade zone to boost offering in China -XinhuaUPDATE 1-Amazon enters Shanghai free trade zone to boost offering in ChinaCORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter) BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, the company said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)   UPDATE 1-Amazon enters Shanghai free trade zone to boost offering in ChinaCORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter) BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, the company said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, state media said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.UPDATE 1-Amazon enters Shanghai free trade zone to boost offering in ChinaCORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter) BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, the company said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)   * Exchanged on sale of 52 Poland Street, to Amazon Property for £26 millionAmazon enters free trade zone to boost offering in China -XinhuaUPDATE 1-Amazon enters Shanghai free trade zone to boost offering in ChinaCORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter) BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, the company said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)   UPDATE 1-Amazon enters Shanghai free trade zone to boost offering in ChinaCORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter) BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, the company said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, state media said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.UPDATE 1-Amazon enters Shanghai free trade zone to boost offering in ChinaCORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)  CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter) BEIJING, Aug 20 Amazon.com will set up shop in China's Shanghai free trade zone, the company said on Wednesday, aiming to take advantage of less stringent trade regulations to sell a wider range of products in the country.CORRECTED-YOUR MONEY-Smart ways to save on college textbooks (In the 12th paragraph, corrects spelling of Casady to remove extra letter)    
BAC,BofA in $16.5 bln deal with U.S. over mortgage bonds -source WASHINGTON, Aug 20 Bank of America Corp  is expected to pay more than $16.5 billion to end investigations into mortgage securities that the bank and its units sold in the run-up to the financial crisis, in a deal that could be announced as early as Thursday, a person  familiar with the matter said. 
BA,U.S. Ex-Im Bank backers pin hopes on temporary reauthorization WASHINGTON, Aug 20 Business backers of the U.S. Export-Import Bank said on Wednesday they hope the institution's charter will be extended temporarily while Congress hashes out a longer-term reauthorization of the bank, which some lawmakers are bent on closing. 
C,UPDATE 2-Citigroup seeks to exit Japanese retail banking - sourceCitigroup seeks to exit Japanese retail banking : source TOKYO Citigroup Inc  is preparing to sell its Japanese retail banking operations, a source with direct knowledge of the matter said on Wednesday, as it waves the white flag on a venture plagued by regulatory troubles and anemic lending.  Citigroup seeks to exit Japanese retail banking : source TOKYO Citigroup Inc  is preparing to sell its Japanese retail banking operations, a source with direct knowledge of the matter said on Wednesday, as it waves the white flag on a venture plagued by regulatory troubles and anemic lending. * Citi Japan has struggled with compliance issues, achieving scaleCitigroup seeks to exit Japanese retail banking : source TOKYO Citigroup Inc  is preparing to sell its Japanese retail banking operations, a source with direct knowledge of the matter said on Wednesday, as it waves the white flag on a venture plagued by regulatory troubles and anemic lending.  
CMCSA,Online video stars mobilize for U.S. net neutrality LOS ANGELES, Aug 20 Online video personalities are joining together to advocate for equal treatment of Internet traffic, aiming to stop the U.S. government from allowing what they worry will be fast and slow lanes for delivering content. 
COP,Alaska oil tax supporters fending off repeal effortsAlaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp .  Alaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp . JUNEAU, Alaska, Aug 20 Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips, BP Plc and Exxon Mobil Corp.Alaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp .  
EFX,U.S. subprime auto lender fined over flawed credit reporting : agency WASHINGTON The U.S. consumer financial watchdog on Wednesday said it fined a subprime auto lender $2.75 million for providing inaccurate information about its customers to credit reporting agencies. 
XOM,UPDATE 1-Alaska voters get their say in state's oil tax systemAlaska oil tax supporters fending off repeal effortsAlaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp .  Alaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp . JUNEAU, Alaska, Aug 20 Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips, BP Plc and Exxon Mobil Corp.Alaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp .   Alaska oil tax supporters fending off repeal effortsAlaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp .  Alaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp . JUNEAU, Alaska, Aug 20 Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips, BP Plc and Exxon Mobil Corp.Alaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp .  JUNEAU, Aug 19 Voting ended on Tuesday evening in an Alaska primary election that in part will decide whether to repeal or uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as Conoco Phillips, BP Plc and Exxon Mobil Corp.Alaska oil tax supporters fending off repeal effortsAlaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp .  Alaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp . JUNEAU, Alaska, Aug 20 Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips, BP Plc and Exxon Mobil Corp.Alaska oil tax supporters fending off repeal efforts JUNEAU Alaska Alaska voters looked on track to narrowly uphold a new law that cuts taxes on oil production and is worth up to $1 billion a year to companies such as ConocoPhillips , BP Plc  and Exxon Mobil Corp .   
