APD,Industrial gas producer Air Products' profit rises 9 pctUPDATE 1-Air Products CEO to focus on performance for now, not sale (Adds details from conference call, analyst comment, background, share movement)  UPDATE 1-Air Products CEO to focus on performance for now, not sale (Adds details from conference call, analyst comment, background, share movement) July 23 Industrial gas producer Air Products and Chemicals Inc reported a 9 percent rise in quarterly profit, driven by higher sales by its merchant gases, and electronics and performance materials divisions.UPDATE 1-Air Products CEO to focus on performance for now, not sale (Adds details from conference call, analyst comment, background, share movement)  
GOOGL,CORRECTED-UPDATE 2-EU antitrust regulators likely to step up Google probes -WSJ (Changes wording in paragraph four to show Almunia said he would not conduct a formal market test, instead of that he would not consult complainants) 
GOOG,CORRECTED-UPDATE 2-EU antitrust regulators likely to step up Google probes -WSJ (Changes wording in paragraph four to show Almunia said he would not conduct a formal market test, instead of that he would not consult complainants) 
AMGN,Amgen growth in Brazil picks up, eyes doubling portfolio by 2020 SAO PAULO Amgen Inc, the world's biggest biotechnology company, has had a surge in sales in Brazil this year and it plans to double its drug portfolio in the country by the end of the decade, the company's top local executive says. 
