ABBV,AbbVie says hepatitis C regimen gets nod for FDA priority review June 13 U.S. regulators have granted priority review for AbbVie Inc's experimental all-oral regimen for patients infected with the most common genotype of hepatitis C virus, the company said on Friday. 
AGN,Ackman seeks court ruling on Allergan special meetingAckman seeks court ruling on Allergan special meetingUPDATE 2-Ackman sues Allergan over questions about poison pill June 13 William Ackman's Pershing Square Capital Management on Friday it filed a lawsuit against Allergan Inc  seeking confirmation that its request to hold a special meeting of Allergan shareholders would not trigger poison pill takeover defense.  UPDATE 2-Ackman sues Allergan over questions about poison pill June 13 William Ackman's Pershing Square Capital Management on Friday it filed a lawsuit against Allergan Inc  seeking confirmation that its request to hold a special meeting of Allergan shareholders would not trigger poison pill takeover defense. William Ackman's Pershing Square Capital Management said it had filed a lawsuit seeking confirmation that its request to hold a special shareholder meeting of Allergan Inc would not trigger Allergan's poison pill takeover defense.UPDATE 2-Ackman sues Allergan over questions about poison pill June 13 William Ackman's Pershing Square Capital Management on Friday it filed a lawsuit against Allergan Inc  seeking confirmation that its request to hold a special meeting of Allergan shareholders would not trigger poison pill takeover defense.   Ackman seeks court ruling on Allergan special meetingUPDATE 2-Ackman sues Allergan over questions about poison pill June 13 William Ackman's Pershing Square Capital Management on Friday it filed a lawsuit against Allergan Inc  seeking confirmation that its request to hold a special meeting of Allergan shareholders would not trigger poison pill takeover defense.  UPDATE 2-Ackman sues Allergan over questions about poison pill June 13 William Ackman's Pershing Square Capital Management on Friday it filed a lawsuit against Allergan Inc  seeking confirmation that its request to hold a special meeting of Allergan shareholders would not trigger poison pill takeover defense. William Ackman's Pershing Square Capital Management said it had filed a lawsuit seeking confirmation that its request to hold a special shareholder meeting of Allergan Inc would not trigger Allergan's poison pill takeover defense.UPDATE 2-Ackman sues Allergan over questions about poison pill June 13 William Ackman's Pershing Square Capital Management on Friday it filed a lawsuit against Allergan Inc  seeking confirmation that its request to hold a special meeting of Allergan shareholders would not trigger poison pill takeover defense.  June 13 William Ackman's Pershing Square Capital Management said it had filed a lawsuit seeking confirmation that a requested special shareholder meeting of Allergan Inc's  shareholders would not trigger Allergan's poison pill takeover defence.Ackman seeks court ruling on Allergan special meetingUPDATE 2-Ackman sues Allergan over questions about poison pill June 13 William Ackman's Pershing Square Capital Management on Friday it filed a lawsuit against Allergan Inc  seeking confirmation that its request to hold a special meeting of Allergan shareholders would not trigger poison pill takeover defense.  UPDATE 2-Ackman sues Allergan over questions about poison pill June 13 William Ackman's Pershing Square Capital Management on Friday it filed a lawsuit against Allergan Inc  seeking confirmation that its request to hold a special meeting of Allergan shareholders would not trigger poison pill takeover defense. William Ackman's Pershing Square Capital Management said it had filed a lawsuit seeking confirmation that its request to hold a special shareholder meeting of Allergan Inc would not trigger Allergan's poison pill takeover defense.UPDATE 2-Ackman sues Allergan over questions about poison pill June 13 William Ackman's Pershing Square Capital Management on Friday it filed a lawsuit against Allergan Inc  seeking confirmation that its request to hold a special meeting of Allergan shareholders would not trigger poison pill takeover defense.   
GOOGL,Google developing health data service -report SAN FRANCISCO, June 13 Google Inc   is developing a service that will combine information from health apps and personal fitness devices, in another competitive move against Apple Inc and Samsung Electronics Co, Forbes reported. 
GOOG,Google developing health data service -report SAN FRANCISCO, June 13 Google Inc   is developing a service that will combine information from health apps and personal fitness devices, in another competitive move against Apple Inc and Samsung Electronics Co, Forbes reported. 
AAPL,Google developing health data service -reportGoogle developing health data service: report SAN FRANCISCO Google Inc is developing a service that will combine information from health apps and personal fitness devices, in another competitive move against Apple Inc and Samsung Electronics Co, Forbes reported.  Google developing health data service: report SAN FRANCISCO Google Inc is developing a service that will combine information from health apps and personal fitness devices, in another competitive move against Apple Inc and Samsung Electronics Co, Forbes reported. SAN FRANCISCO, June 13 Google Inc   is developing a service that will combine information from health apps and personal fitness devices, in another competitive move against Apple Inc and Samsung Electronics Co, Forbes reported.Google developing health data service: report SAN FRANCISCO Google Inc is developing a service that will combine information from health apps and personal fitness devices, in another competitive move against Apple Inc and Samsung Electronics Co, Forbes reported.  
T,U.S. FCC chair recuses himself from AT&T; IP transition trial review WASHINGTON, June 13 U.S. Federal Communications Commission Chairman Tom Wheeler on Friday recused himself from the FCC's review of AT&T; Inc's tests of a transition of networks to digital because of his past affiliation with participant EarthLink Holdings Corp. 
BA,China Eastern orders 80 Boeing jets worth $7.4 blnAirbus ups seat capacity on popular jet - but Boeing may leapfrog it PARIS, June 13 Europe's Airbus plans to increase the seating capacity on its most popular single-aisle jet, the medium-haul A320 models, stepping up competition with U.S. rival Boeing in the largest slice of the global jet market.  Airbus ups seat capacity on popular jet - but Boeing may leapfrog it PARIS, June 13 Europe's Airbus plans to increase the seating capacity on its most popular single-aisle jet, the medium-haul A320 models, stepping up competition with U.S. rival Boeing in the largest slice of the global jet market. BEIJING, June 13 Chinese carrier China Eastern Airlines Corp Ltd on Friday said it has ordered 80 B737 planes from Boeing Co worth about $7.4 billion.Airbus ups seat capacity on popular jet - but Boeing may leapfrog it PARIS, June 13 Europe's Airbus plans to increase the seating capacity on its most popular single-aisle jet, the medium-haul A320 models, stepping up competition with U.S. rival Boeing in the largest slice of the global jet market.  
CBS,Univision held preliminary sale talks with CBS, Time Warner - WSJ June 12 The owner of Univision Communications Inc have recently held preliminary talks about selling the Spanish-language broadcaster with CBS Corp, Time Warner Inc and other media companies, the Wall Street Journal reported, citing people familiar with the matter. 
CHK,BRIEF-Chesapeake Energy shareholders vote to declassify board of directorsChesapeake shareholders approve governance reformsUPDATE 1-Chesapeake shareholders approve big governance reforms HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday approved a series of reforms that included the elimination of three-year terms for directors, deepening an overhaul that began in the months preceding the 2013 ouster of former Chief Executive Officer Aubrey McClendon.  UPDATE 1-Chesapeake shareholders approve big governance reforms HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday approved a series of reforms that included the elimination of three-year terms for directors, deepening an overhaul that began in the months preceding the 2013 ouster of former Chief Executive Officer Aubrey McClendon. HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday voted to approve a series of governance reforms that included eliminating three-year terms for its board members.UPDATE 1-Chesapeake shareholders approve big governance reforms HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday approved a series of reforms that included the elimination of three-year terms for directors, deepening an overhaul that began in the months preceding the 2013 ouster of former Chief Executive Officer Aubrey McClendon.   Chesapeake shareholders approve governance reformsUPDATE 1-Chesapeake shareholders approve big governance reforms HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday approved a series of reforms that included the elimination of three-year terms for directors, deepening an overhaul that began in the months preceding the 2013 ouster of former Chief Executive Officer Aubrey McClendon.  UPDATE 1-Chesapeake shareholders approve big governance reforms HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday approved a series of reforms that included the elimination of three-year terms for directors, deepening an overhaul that began in the months preceding the 2013 ouster of former Chief Executive Officer Aubrey McClendon. HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday voted to approve a series of governance reforms that included eliminating three-year terms for its board members.UPDATE 1-Chesapeake shareholders approve big governance reforms HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday approved a series of reforms that included the elimination of three-year terms for directors, deepening an overhaul that began in the months preceding the 2013 ouster of former Chief Executive Officer Aubrey McClendon.  HOUSTON, June 13 Chesapeake Energy Corp :  * Shareholders vote to declassify board of directors, implement proxy accessChesapeake shareholders approve governance reformsUPDATE 1-Chesapeake shareholders approve big governance reforms HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday approved a series of reforms that included the elimination of three-year terms for directors, deepening an overhaul that began in the months preceding the 2013 ouster of former Chief Executive Officer Aubrey McClendon.  UPDATE 1-Chesapeake shareholders approve big governance reforms HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday approved a series of reforms that included the elimination of three-year terms for directors, deepening an overhaul that began in the months preceding the 2013 ouster of former Chief Executive Officer Aubrey McClendon. HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday voted to approve a series of governance reforms that included eliminating three-year terms for its board members.UPDATE 1-Chesapeake shareholders approve big governance reforms HOUSTON, June 13 Chesapeake Energy Corp  shareholders on Friday approved a series of reforms that included the elimination of three-year terms for directors, deepening an overhaul that began in the months preceding the 2013 ouster of former Chief Executive Officer Aubrey McClendon.   
CVX,Chevron sells stake in Chad oil concession for about $1.3 blnUPDATE 1-Chevron sells stake in Chad oil concession for about $1.3 bln June 13 Chevron Corp, the second-largest U.S. oil company, said on Friday it sold its 25 percent interest in an oil concession and pipeline system in southern Chad to the country's government for about $1.3 billion.  UPDATE 1-Chevron sells stake in Chad oil concession for about $1.3 bln June 13 Chevron Corp, the second-largest U.S. oil company, said on Friday it sold its 25 percent interest in an oil concession and pipeline system in southern Chad to the country's government for about $1.3 billion. June 13 Chevron Corp, the second-largest U.S. oil company, said it sold its 25 percent stake in a producing oil concession and the related pipeline system in southern Chad to the country's government for about $1.3 billion.UPDATE 1-Chevron sells stake in Chad oil concession for about $1.3 bln June 13 Chevron Corp, the second-largest U.S. oil company, said on Friday it sold its 25 percent interest in an oil concession and pipeline system in southern Chad to the country's government for about $1.3 billion.  
C,Greece's Alpha confirms purchase of Citibank's Greek retail opsUPDATE 1-Alpha to buy Citibank's Greek retail businessUPDATE 1-U.S. to sue Citigroup over faulty mortgage bonds -sources (Recasts with Reuters sourcing saying Justice Department preparing to sue Citi; adds background)  UPDATE 1-U.S. to sue Citigroup over faulty mortgage bonds -sources (Recasts with Reuters sourcing saying Justice Department preparing to sue Citi; adds background) * Citi says wants to focus on corporate clients   (Adds details)UPDATE 1-U.S. to sue Citigroup over faulty mortgage bonds -sources (Recasts with Reuters sourcing saying Justice Department preparing to sue Citi; adds background)   UPDATE 1-Alpha to buy Citibank's Greek retail businessUPDATE 1-U.S. to sue Citigroup over faulty mortgage bonds -sources (Recasts with Reuters sourcing saying Justice Department preparing to sue Citi; adds background)  UPDATE 1-U.S. to sue Citigroup over faulty mortgage bonds -sources (Recasts with Reuters sourcing saying Justice Department preparing to sue Citi; adds background) * Citi says wants to focus on corporate clients   (Adds details)UPDATE 1-U.S. to sue Citigroup over faulty mortgage bonds -sources (Recasts with Reuters sourcing saying Justice Department preparing to sue Citi; adds background)  ATHENS, June 13 Alpha Bank, Greece's fourth-biggest lender by assets, said on Friday it agreed to acquire Citibank's retail banking operations in Greece at a price of 2 million euros ($2.72 million).UPDATE 1-Alpha to buy Citibank's Greek retail businessUPDATE 1-U.S. to sue Citigroup over faulty mortgage bonds -sources (Recasts with Reuters sourcing saying Justice Department preparing to sue Citi; adds background)  UPDATE 1-U.S. to sue Citigroup over faulty mortgage bonds -sources (Recasts with Reuters sourcing saying Justice Department preparing to sue Citi; adds background) * Citi says wants to focus on corporate clients   (Adds details)UPDATE 1-U.S. to sue Citigroup over faulty mortgage bonds -sources (Recasts with Reuters sourcing saying Justice Department preparing to sue Citi; adds background)   
