APC,NYSE cancels irregular trades in Anadarko stock - Bloomberg May 17 The New York Stock Exchange canceled trades in Anadarko Petroleum Corp after a blip in trading cut the market value of the company by 99 percent, according to a report in Bloomberg. 
JPM,CORRECTED-UPDATE 2-Investor group calls on SEC to review change in JPMorgan voting NEW YORK, May 17 Pension and endowment managers on Friday called on U.S. regulators to review the rules for shareholder voting after a firm collecting ballots for JPMorgan Chase & Co cut off the bank's opponents from polling information. 
MSFT,New Xbox more than a game console for Microsoft * Renews contest with Sony, Nintendo for $65 bln game market 
