AEE,UPDATE 1-FERC approves Ameren's sale of Illinois coal plants to Dynegy Oct 14 U.S. federal energy regulators approved power company Ameren Corp's plan to sell five coal-fired power plants in Illinois to power generator Dynegy Inc, the companies said on Monday. 
T,Delaware judge lifts veil covering Al Jazeera-AT&T; case Oct 14 Al Jazeera must unseal its lawsuit against AT&T; Inc within five business days after a Delaware judge sided on Monday with news organizations that objected to secrecy in the case. 
BA,Boeing rebuts critical Pentagon report on helicopter parts WASHINGTON, Oct 14 Boeing Co on Monday rebutted a Pentagon's inspector general report that said the company overcharged the U.S. Army by up to $16.6 million on a $4.4 billion helicopter contract and said it was still waiting to receive the final report under a Freedom of Information Act request. 
EXPE,RPT-US STOCKS-Wall St down on growing default concerns * Some progress, but no clear sign of end to fiscal impasse 
F,Ford's Russia venture adds new SUV model MOSCOW, Oct 14 Ford Sollers, a joint venture between U.S. automaker Ford Motor Co and Russian carmaker Sollers, is adding a new SUV model to its range to meet growing local demand. 
GM,Peugeot shares slump on report of capital talks with Dongfeng, France PARIS, Oct 14 Shares in PSA Peugeot Citroen  fell 10 percent on Monday on a Reuters report it was preparing a 3-billion-euro ($4.1 billion) capital increase in which Chinese partner Dongfeng and the French state would secure stakes in it. 
M,Macy's stores to open on U.S. Thanksgiving for first time NEW YORK, Oct 14 Macy's Inc said on Monday that most of its stores will open on the U.S. Thanksgiving Day holiday for the first time in its history, in a sign of how competitive the holiday season is shaping up. 
MRK,Roche to spend $880 million on manufacturing, create 500 jobs ZURICH Swiss drugmaker Roche is to invest 800 million Swiss francs ($880 million) in its global manufacturing facilities over the next five years, creating 500 jobs, as it prepares for growing demand for its biologic medicines. 
