AAPL,Apple eyes record for Kangaroo bond debutApple gains share in global smartphone market-GartnerUS STOCKS-Wall St sells off on global slowdown concern; Disney slumps * Indexes down: Dow 1.5 pct, S&P; 1.5 pct, Nasdaq 2.2 pct   (Updates prices, changes comment, byline)  US STOCKS-Wall St sells off on global slowdown concern; Disney slumps * Indexes down: Dow 1.5 pct, S&P; 1.5 pct, Nasdaq 2.2 pct   (Updates prices, changes comment, byline) Aug 20 Apple Inc increased its market share in the second quarter when global smartphone sales grew at the slowest pace since 2013, according to market research firm Gartner Inc.US STOCKS-Wall St sells off on global slowdown concern; Disney slumps * Indexes down: Dow 1.5 pct, S&P; 1.5 pct, Nasdaq 2.2 pct   (Updates prices, changes comment, byline)   Apple gains share in global smartphone market-GartnerUS STOCKS-Wall St sells off on global slowdown concern; Disney slumps * Indexes down: Dow 1.5 pct, S&P; 1.5 pct, Nasdaq 2.2 pct   (Updates prices, changes comment, byline)  US STOCKS-Wall St sells off on global slowdown concern; Disney slumps * Indexes down: Dow 1.5 pct, S&P; 1.5 pct, Nasdaq 2.2 pct   (Updates prices, changes comment, byline) Aug 20 Apple Inc increased its market share in the second quarter when global smartphone sales grew at the slowest pace since 2013, according to market research firm Gartner Inc.US STOCKS-Wall St sells off on global slowdown concern; Disney slumps * Indexes down: Dow 1.5 pct, S&P; 1.5 pct, Nasdaq 2.2 pct   (Updates prices, changes comment, byline)  SYDNEY, Aug 20 (IFR) - US tech giant Apple, rated Aa1/AA+ (Moody's/S&P;), has released price guidance for its debut Kangaroo offering via joint leads CBA, Deutsche Bank and Goldman Sachs.Apple gains share in global smartphone market-GartnerUS STOCKS-Wall St sells off on global slowdown concern; Disney slumps * Indexes down: Dow 1.5 pct, S&P; 1.5 pct, Nasdaq 2.2 pct   (Updates prices, changes comment, byline)  US STOCKS-Wall St sells off on global slowdown concern; Disney slumps * Indexes down: Dow 1.5 pct, S&P; 1.5 pct, Nasdaq 2.2 pct   (Updates prices, changes comment, byline) Aug 20 Apple Inc increased its market share in the second quarter when global smartphone sales grew at the slowest pace since 2013, according to market research firm Gartner Inc.US STOCKS-Wall St sells off on global slowdown concern; Disney slumps * Indexes down: Dow 1.5 pct, S&P; 1.5 pct, Nasdaq 2.2 pct   (Updates prices, changes comment, byline)   
DE,Deere resumes production at Tianjin, China facilitiesDeere resumes production at Tianjin, China facilities Deere & Co  said on Thursday that production has resumed at its facilities near Tianjin after a massive chemical explosion ripped through the Chinese port town last week.  Deere resumes production at Tianjin, China facilities Deere & Co  said on Thursday that production has resumed at its facilities near Tianjin after a massive chemical explosion ripped through the Chinese port town last week. Aug 20 Deere & Co said on Thursday that production has resumed at its facilities near Tianjin after a massive chemical explosion ripped through the Chinese port town last week.Deere resumes production at Tianjin, China facilities Deere & Co  said on Thursday that production has resumed at its facilities near Tianjin after a massive chemical explosion ripped through the Chinese port town last week.  
FDX,Fedex reaches tentative agreement with pilots Aug 20 FedEx pilots tentatively agreed with the package delivery company on an amended collective bargaining agreement, the Air Line Pilots Association (ALPA) said. 
HPQ,HP revenue falls on weak PC sales, lower demand for servicesUPDATE 3-HP revenue falls on weak PC sales, lower demand for services * PC market to continue to remain under pressure - CEO Whitman  UPDATE 3-HP revenue falls on weak PC sales, lower demand for services * PC market to continue to remain under pressure - CEO Whitman Aug 20 Hewlett-Packard Co reported an 8.1 percent drop in quarterly revenue, hurt by weak PC sales and lower demand from corporate customers for its services.UPDATE 3-HP revenue falls on weak PC sales, lower demand for services * PC market to continue to remain under pressure - CEO Whitman  
JPM,Ex-JPMorgan banker to plead guilty in embezzlement case-hearingEx-JPMorgan banker to plead guilty in embezzlement case-hearing NEW YORK A former investment adviser at JPMorgan Chase & Co is expected to plead guilty in September, after federal prosecutors in New York charged him with taking at least $22 million out of client accounts to use for his own purposes.  Ex-JPMorgan banker to plead guilty in embezzlement case-hearing NEW YORK A former investment adviser at JPMorgan Chase & Co is expected to plead guilty in September, after federal prosecutors in New York charged him with taking at least $22 million out of client accounts to use for his own purposes. NEW YORK, Aug 20 A former investment adviser at JPMorgan Chase & Co is expected to plead guilty in September, after federal prosecutors in New York charged him with taking at least $22 million out of client accounts to use for his own purposes.Ex-JPMorgan banker to plead guilty in embezzlement case-hearing NEW YORK A former investment adviser at JPMorgan Chase & Co is expected to plead guilty in September, after federal prosecutors in New York charged him with taking at least $22 million out of client accounts to use for his own purposes.  
MSFT,Microsoft files antitrust suit against InterDigital in patent feudMicrosoft files antitrust suit against InterDigital in patent feudUPDATE 2-Microsoft files antitrust suit against InterDigital in patent feud NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.  UPDATE 2-Microsoft files antitrust suit against InterDigital in patent feud NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday. NEW YORK InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.UPDATE 2-Microsoft files antitrust suit against InterDigital in patent feud NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.   Microsoft files antitrust suit against InterDigital in patent feudUPDATE 2-Microsoft files antitrust suit against InterDigital in patent feud NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.  UPDATE 2-Microsoft files antitrust suit against InterDigital in patent feud NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday. NEW YORK InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.UPDATE 2-Microsoft files antitrust suit against InterDigital in patent feud NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.  NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.Microsoft files antitrust suit against InterDigital in patent feudUPDATE 2-Microsoft files antitrust suit against InterDigital in patent feud NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.  UPDATE 2-Microsoft files antitrust suit against InterDigital in patent feud NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday. NEW YORK InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.UPDATE 2-Microsoft files antitrust suit against InterDigital in patent feud NEW YORK, Aug 20 InterDigital Inc has violated U.S. antitrust law by failing to keep its promise to fairly license its technology considered essential to mobile phone communications, Microsoft Corp said in a lawsuit on Thursday.   
CRM,Salesforce revenue rises 24 percentUPDATE 2-Salesforce raises full-year revenue forecast again * Shares up about 4 pct after market   (Adds CEO comment, details)  UPDATE 2-Salesforce raises full-year revenue forecast again * Shares up about 4 pct after market   (Adds CEO comment, details) Aug 20 Salesforce.com Inc reported a 24 percent jump in quarterly revenue, helped by an increase in demand for its web-based sales and marketing software.UPDATE 2-Salesforce raises full-year revenue forecast again * Shares up about 4 pct after market   (Adds CEO comment, details)  
SYY,Food distributor Sysco adds activist investor Peltz to its board Aug 20 Food distribution company Sysco Corp  has added Nelson Peltz to its board, days after the activist investor disclosed a more than 7 percent stake in the company and called its shares "undervalued". 
TGT,New Target COO's headache: Too few goods to keep shelves filledNew Target COO's headache: Too few goods to keep shelves filled CHICAGO Two days after being promoted to the new position of Target Corp's  Chief Operating Officer, John Mulligan's big job is clear: fix a supply chain that the company blamed for shortages of goods that are undermining sales growth.  New Target COO's headache: Too few goods to keep shelves filled CHICAGO Two days after being promoted to the new position of Target Corp's  Chief Operating Officer, John Mulligan's big job is clear: fix a supply chain that the company blamed for shortages of goods that are undermining sales growth. CHICAGO, Aug 19 Two days after being promoted to the new position of Target Corp's Chief Operating Officer, John Mulligan's big job is clear: fix a supply chain that the company blamed for shortages of goods that are undermining sales growth.New Target COO's headache: Too few goods to keep shelves filled CHICAGO Two days after being promoted to the new position of Target Corp's  Chief Operating Officer, John Mulligan's big job is clear: fix a supply chain that the company blamed for shortages of goods that are undermining sales growth.  
UTX,United Tech in talks to buy Nortek - WSJUPDATE 1-United Tech in talks to buy Nortek - WSJ Aug 20 United Technologies Corp is in talks to buy residential products maker Nortek Inc, the Wall Street Journal reported, citing people familiar with the matter.  UPDATE 1-United Tech in talks to buy Nortek - WSJ Aug 20 United Technologies Corp is in talks to buy residential products maker Nortek Inc, the Wall Street Journal reported, citing people familiar with the matter. Aug 20 United Technologies Corp is in talks to buy residential products maker Nortek Inc, the Wall Street Journal reported, citing people familiar with the matter.UPDATE 1-United Tech in talks to buy Nortek - WSJ Aug 20 United Technologies Corp is in talks to buy residential products maker Nortek Inc, the Wall Street Journal reported, citing people familiar with the matter.  
