ABT,Abbott, Alere agree to mediate merger disputeAbbott, Alere agree to mediate merger dispute Medical device maker Abbott Laboratories  and Alere Inc  agreed on Thursday to work with a mediator to settle their dispute over Abbott's role in obtaining U.S. antitrust clearance for its $5.8 billion takeover of the diagnostics company, but Alere voiced concern about the speed of the process.  Abbott, Alere agree to mediate merger dispute Medical device maker Abbott Laboratories  and Alere Inc  agreed on Thursday to work with a mediator to settle their dispute over Abbott's role in obtaining U.S. antitrust clearance for its $5.8 billion takeover of the diagnostics company, but Alere voiced concern about the speed of the process. Sept 8 Medical device maker Abbott Laboratories  and Alere Inc agreed on Thursday to work with a mediator to settle their dispute over Abbott's role in obtaining U.S. antitrust clearance for its $5.8 billion takeover of the diagnostics company, but Alere voiced concern about the speed of the process.Abbott, Alere agree to mediate merger dispute Medical device maker Abbott Laboratories  and Alere Inc  agreed on Thursday to work with a mediator to settle their dispute over Abbott's role in obtaining U.S. antitrust clearance for its $5.8 billion takeover of the diagnostics company, but Alere voiced concern about the speed of the process.  
GOOGL,Google to buy software developer Apigee in $625 mln dealUPDATE 1-Google to buy software developer Apigee in $625 mln dealCORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.  CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business. Sept 8 Alphabet Inc's Google is acquiring software developer Apigee Corp in a deal valued at about $625 million, as it strengthens its cloud business.CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.   UPDATE 1-Google to buy software developer Apigee in $625 mln dealCORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.  CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business. Sept 8 Alphabet Inc's Google is acquiring software developer Apigee Corp in a deal valued at about $625 million, as it strengthens its cloud business.CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.  Sept 8 Alphabet Inc's Google is acquiring software developer Apigee Corp in a deal valued at about $625 million in cash.UPDATE 1-Google to buy software developer Apigee in $625 mln dealCORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.  CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business. Sept 8 Alphabet Inc's Google is acquiring software developer Apigee Corp in a deal valued at about $625 million, as it strengthens its cloud business.CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.   
GOOG,Google to buy software developer Apigee in $625 mln dealUPDATE 1-Google to buy software developer Apigee in $625 mln dealCORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.  CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business. Sept 8 Alphabet Inc's Google is acquiring software developer Apigee Corp in a deal valued at about $625 million, as it strengthens its cloud business.CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.   UPDATE 1-Google to buy software developer Apigee in $625 mln dealCORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.  CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business. Sept 8 Alphabet Inc's Google is acquiring software developer Apigee Corp in a deal valued at about $625 million, as it strengthens its cloud business.CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.  Sept 8 Alphabet Inc's Google is acquiring software developer Apigee Corp in a deal valued at about $625 million in cash.UPDATE 1-Google to buy software developer Apigee in $625 mln dealCORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.  CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business. Sept 8 Alphabet Inc's Google is acquiring software developer Apigee Corp in a deal valued at about $625 million, as it strengthens its cloud business.CORRECTED-UPDATE 2-Google to buy cloud software company Apigee for $625 mln SAN FRANCISCO, Sept 8 Alphabet Inc's  Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about $625 million, the tech giant's latest effort to claim a greater share of the lucrative cloud business.   
AMZN,BRIEF-Amazon expands AmazonFresh's London coverage * Says AmazonFresh expands in London, more than doubling coverage since June launch 
