AMZN,Amazon closes third-party store in China over fake cosmetic report SHANGHAI, March 21 U.S e-commerce giant Amazon.com Inc's China unit will strengthen regulation of its online sales channels and has closed down a third-party store, the online retailer said on Thursday, after state media criticised Amazon and smaller local rival Dangdang for selling fake cosmetics. 
AON,UPDATE 1-Onex to sell The Warranty Group to TPG Capital for $1.5 bln March 21 Canadian private equity investment firm Onex Corp said it would sell The Warranty Group, a provider of extended warranty contracts, to an affiliate of TPG Capital Management LP for an enterprise value of about $1.5 billion. 
T,AT&T; rejects Netflix call for free interconnection as unfair NEW YORK, March 21 AT&T; on Friday dismissed Netflix's recent call for free interconnection as an arrogant and unfair attempt to force others to pay for the content provider to gain access to faster broadband speeds and better services. 
BAC,U.S. swaps regulator gives EU firms more time to meet rules WASHINGTON, March 21 The U.S. derivatives regulator on Friday gave European trading platforms more time to register and meet strict new rules to make the market more transparent, in anticipation of comparable rules abroad. 
BIIB,Biogen Idec wins Canadian approval for hemophilia drug AlprolixUPDATE 1-Biogen Idec wins Canadian approval for hemophilia drug Alprolix March 21 Biogen Idec Inc said on Friday it had won Canadian approval for its long-lasting hemophilia B drug Alprolix.  UPDATE 1-Biogen Idec wins Canadian approval for hemophilia drug Alprolix March 21 Biogen Idec Inc said on Friday it had won Canadian approval for its long-lasting hemophilia B drug Alprolix. March 21 Biogen Idec Inc said on Friday it had won Canadian approval for its long-lasting hemophilia B drug Alprolix.UPDATE 1-Biogen Idec wins Canadian approval for hemophilia drug Alprolix March 21 Biogen Idec Inc said on Friday it had won Canadian approval for its long-lasting hemophilia B drug Alprolix.  
BLK,BlackRock owns 5.75 pct of Monte dei PaschiUPDATE 1-BlackRock buys 5.75 percent of Monte dei Paschi (Adds shareholder detail, BlackRock's Italian investments)  UPDATE 1-BlackRock buys 5.75 percent of Monte dei Paschi (Adds shareholder detail, BlackRock's Italian investments) MILAN, March 21 BlackRock, the world's largest money manager, has acquired 5.748 percent of Italian lender Banca Monte dei Paschi di Siena, emerging as one of the likely buyers of the stake sold by the bank's largest shareholder.UPDATE 1-BlackRock buys 5.75 percent of Monte dei Paschi (Adds shareholder detail, BlackRock's Italian investments)  
CELG,U.S. FDA approves Celgene drug for psoriatic arthritisFDA approves Celgene drug for psoriatic arthritis U.S. health regulators on Friday approved a Celgene Corp drug to treat psoriatic arthritis, a type of arthritis associated with the skin disease psoriasis that causes joint pain, stiffness and swelling.  FDA approves Celgene drug for psoriatic arthritis U.S. health regulators on Friday approved a Celgene Corp drug to treat psoriatic arthritis, a type of arthritis associated with the skin disease psoriasis that causes joint pain, stiffness and swelling. March 21 U.S. health regulators on Friday approved a Celgene Corp drug to treat psoriatic arthritis, a type of arthritis associated with the skin disease psoriasis that causes joint pain, stiffness and swelling.FDA approves Celgene drug for psoriatic arthritis U.S. health regulators on Friday approved a Celgene Corp drug to treat psoriatic arthritis, a type of arthritis associated with the skin disease psoriasis that causes joint pain, stiffness and swelling.  
DRI,UPDATE 2-Darden CEO rebuffs plan to put Red Lobster sale to vote March 21 Darden Restaurants Inc, under scrutiny from two activist investors over a plan to sell or spin off its Red Lobster chain, on Friday resisted pressure put the divestiture of the struggling seafood restaurants to a shareholder vote. 
FB,Obama to meet with U.S. tech executives on privacy, surveillanceUPDATE 1-Obama to meet with U.S. tech executives on privacy, surveillance (Adds White House list of attendees, March 28 deadline; paragraphs 3, 6-7)  UPDATE 1-Obama to meet with U.S. tech executives on privacy, surveillance (Adds White House list of attendees, March 28 deadline; paragraphs 3, 6-7) WASHINGTON, March 21 Executives of several large U.S. Internet companies, including Google Inc and Facebook Inc, will meet with President Barack Obama on Friday to discuss changes to government surveillance programs.UPDATE 1-Obama to meet with U.S. tech executives on privacy, surveillance (Adds White House list of attendees, March 28 deadline; paragraphs 3, 6-7)  
