APD,Evonik interested in Air Products division - sourceUPDATE 2-Air Products in talks to sell unit to Evonik - source * Evonik interested in the unit - source   (Adds Wirtschaftswoche report on interest in Akzo Nobel division)  UPDATE 2-Air Products in talks to sell unit to Evonik - source * Evonik interested in the unit - source   (Adds Wirtschaftswoche report on interest in Akzo Nobel division) DUESSELDORF, Germany, March 17 Germany's Evonik Industries AG is interested in industrial gas producer Air Products and Chemicals Inc's performance materials operations, but no decision has been made about whether to pursue a deal, a person familiar with the matter said on Thursday.UPDATE 2-Air Products in talks to sell unit to Evonik - source * Evonik interested in the unit - source   (Adds Wirtschaftswoche report on interest in Akzo Nobel division)  
GOOGL,Apple signs up for Google's cloud services - Re/codeApple signs up for Google's cloud services: Re/code Apple Inc recently started using Google's cloud service even as it simultaneously builds its own data centers to reduce its reliance on third-party service providers, technology news website Re/code reported, citing sources familiar with the deal.  Apple signs up for Google's cloud services: Re/code Apple Inc recently started using Google's cloud service even as it simultaneously builds its own data centers to reduce its reliance on third-party service providers, technology news website Re/code reported, citing sources familiar with the deal. March 16 Apple Inc recently started using Google's cloud service even as it simultaneously builds its own data centers to reduce its reliance on third-party service providers, technology news website Re/code reported, citing sources familiar with the deal.Apple signs up for Google's cloud services: Re/code Apple Inc recently started using Google's cloud service even as it simultaneously builds its own data centers to reduce its reliance on third-party service providers, technology news website Re/code reported, citing sources familiar with the deal.  
GOOG,Apple signs up for Google's cloud services - Re/codeApple signs up for Google's cloud services: Re/code Apple Inc recently started using Google's cloud service even as it simultaneously builds its own data centers to reduce its reliance on third-party service providers, technology news website Re/code reported, citing sources familiar with the deal.  Apple signs up for Google's cloud services: Re/code Apple Inc recently started using Google's cloud service even as it simultaneously builds its own data centers to reduce its reliance on third-party service providers, technology news website Re/code reported, citing sources familiar with the deal. March 16 Apple Inc recently started using Google's cloud service even as it simultaneously builds its own data centers to reduce its reliance on third-party service providers, technology news website Re/code reported, citing sources familiar with the deal.Apple signs up for Google's cloud services: Re/code Apple Inc recently started using Google's cloud service even as it simultaneously builds its own data centers to reduce its reliance on third-party service providers, technology news website Re/code reported, citing sources familiar with the deal.  
AMZN,BRIEF-Fitbit and Amazon bring voice-enabled features to Alexa * Fitbit and Amazon bring voice-enabled health and fitness capabilities to Alexa 
AAPL,Imagination Technologies plans more cost cutsUPDATE 1-Slowing iPhone growth spurs deeper cuts at UK's ImaginationSlowing iPhone growth spurs deeper cuts at UK's ImaginationU.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  LONDON Imagination Technologies, the British company whose graphics power Apple's iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)    Slowing iPhone growth spurs deeper cuts at UK's ImaginationU.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  LONDON Imagination Technologies, the British company whose graphics power Apple's iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   LONDON, March 17 Imagination Technologies , the British company whose graphics power Apple's  iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.Slowing iPhone growth spurs deeper cuts at UK's ImaginationU.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  LONDON Imagination Technologies, the British company whose graphics power Apple's iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)     UPDATE 1-Slowing iPhone growth spurs deeper cuts at UK's ImaginationSlowing iPhone growth spurs deeper cuts at UK's ImaginationU.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  LONDON Imagination Technologies, the British company whose graphics power Apple's iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)    Slowing iPhone growth spurs deeper cuts at UK's ImaginationU.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  LONDON Imagination Technologies, the British company whose graphics power Apple's iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   LONDON, March 17 Imagination Technologies , the British company whose graphics power Apple's  iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.Slowing iPhone growth spurs deeper cuts at UK's ImaginationU.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  LONDON Imagination Technologies, the British company whose graphics power Apple's iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)    LONDON, March 17 Imagination Technologies , a supplier of graphics technology to Apple, said it planned further cost cuts on top of those announced in February, in an acceleration of its restructuring.UPDATE 1-Slowing iPhone growth spurs deeper cuts at UK's ImaginationSlowing iPhone growth spurs deeper cuts at UK's ImaginationU.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  LONDON Imagination Technologies, the British company whose graphics power Apple's iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)    Slowing iPhone growth spurs deeper cuts at UK's ImaginationU.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  LONDON Imagination Technologies, the British company whose graphics power Apple's iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   LONDON, March 17 Imagination Technologies , the British company whose graphics power Apple's  iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.Slowing iPhone growth spurs deeper cuts at UK's ImaginationU.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)   U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  LONDON Imagination Technologies, the British company whose graphics power Apple's iPhone, said it would make new cost cuts, including job losses, to speed up a turnaround plan.U.S. SEC says Amazon should allow shareholder vote on gender payUPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)  UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement) March 17 Amazon.com Inc should allow shareholders to vote on a proposal on gender pay equality, the U.S. securities regulator decided this week in rejecting the retailer's request to omit the measure from its annual ballot.UPDATE 3-German court ruling threatens Apple's video services * Kudelski previously agreed deals with Google, Cisco and Netflix   (Adds Federal Patent Court statement)     
BLK,BlackRock investor sees value in emerging markets after Fed decision NEW YORK, March 17 A BlackRock Inc  portfolio manager said Thursday that he continues to see value in emerging-market bonds from Asia to Latin America a day after the Federal Reserve left rates unchanged and acknowledged global economic risks. 
BA,AIRSHOW-Boeing, Airbus eye Indian growth as fears of global slowdown mount HYDERABAD, India, March 17 Boeing Co and Airbus Group SE said on Thursday they expect Indian airlines to order up to 1740 jets over the next 20 years, as aircraft manufacturers eye one of the world's fastest-growing aviation markets to offset any weaker sales elsewhere. 
CAT,UPDATE 2-Caterpillar sees Q1 revenue, profit below Wall Street estimates March 17 Caterpillar Inc, the world's No. 1 maker of construction and mining equipment, gave a first-quarter forecast below Wall Street expectations and left analysts wondering whether it could still meet its 2016 full-year earnings target as the global mining environment shows no signs of recovery. 
CBS,UPDATE 3-Viacom's new lead independent director pledges close eye on strategyViacom's new lead independent director pledges close eye on strategy NEW YORK Viacom Inc's  new lead independent director pledged on Wednesday to represent all of the media company's shareholders and improve board and management coordination, including on potential mergers and acquisitions.  Viacom's new lead independent director pledges close eye on strategy NEW YORK Viacom Inc's  new lead independent director pledged on Wednesday to represent all of the media company's shareholders and improve board and management coordination, including on potential mergers and acquisitions. NEW YORK, March 16 Viacom Inc's new lead independent director pledged on Wednesday to represent all of the media company's shareholders and improve board and management coordination, including on potential mergers and acquisitions.Viacom's new lead independent director pledges close eye on strategy NEW YORK Viacom Inc's  new lead independent director pledged on Wednesday to represent all of the media company's shareholders and improve board and management coordination, including on potential mergers and acquisitions.  
XOM,U.S. ExxonMobil still plans building LNG plant in Russia's Sakhalin or Khabarovsk MOSCOW, March 17 U.S. energy major ExxonMobil  is still considering plans to build a liquefied natural gas (LNG) plant either in the island of Sakhalin or in Khabarovsk region in Russia's far east, a senior company manager said on Thursday. 
GS,StanChart PE arm, Goldman invest $28 mln in Vietnam fintech startup HANOI, March 17 A private-equity arm of Standard Chartered Plc and Goldman Sachs have invested a combined $28 million in Vietnamese startup M_Service, the operator of mobile e-wallet MoMo, the companies said in a joint statement on Thursday. 
