AA,Wall St Week Ahead-Stocks could resume gains as focus shifts to earnings NEW YORK, April 2 Market focus will shift from macro to micro next week as economic data winds down and quarterly earnings reports from S&P; 500 components including Alcoa take center-stage. 
GOOGL,UPDATE 1-China Internet authority denounces Google certificate rejectionGoogle fails to dismiss privacy lawsuit over Google WalletCORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.  CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers. A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.   Google fails to dismiss privacy lawsuit over Google WalletCORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.  CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers. A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.  BEIJING, April 2 A Chinese Internet regulator on Thursday slammed as "unacceptable" a decision by Google Inc  to no longer recognise its certificates of trust, a move which could deter Chrome browser users accessing sites approved by the authority.Google fails to dismiss privacy lawsuit over Google WalletCORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.  CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers. A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.   
GOOG,UPDATE 1-China Internet authority denounces Google certificate rejectionGoogle fails to dismiss privacy lawsuit over Google WalletCORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.  CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers. A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.   Google fails to dismiss privacy lawsuit over Google WalletCORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.  CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers. A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.  BEIJING, April 2 A Chinese Internet regulator on Thursday slammed as "unacceptable" a decision by Google Inc  to no longer recognise its certificates of trust, a move which could deter Chrome browser users accessing sites approved by the authority.Google fails to dismiss privacy lawsuit over Google WalletCORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.  CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers. A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.   
AMZN,Netflix to premiere original series "Montauk" in 2016 April 2 Streaming video service provider Netflix Inc said it will premiere its next series, "Montauk", in 2016 as it looks to boost its original content in a highly competitive market. 
AMP,ON THE MOVE-Ameriprise hires adviser from Edward Jones April 2 Asset management firm Ameriprise Financial Inc said Robert Shanks from brokerage firm Edward Jones joined its independent channel as adviser. 
AAPL,China's Alibaba finance arm, Xiaomi partner in wearable paymentsChina's Alibaba finance arm, Xiaomi partner in wearable paymentsUPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources BRUSSELS, April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform, two people with knowledge of the matter said.  UPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources BRUSSELS, April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform, two people with knowledge of the matter said. BEIJING Alibaba Group Holding Ltd's  finance arm and smartphone maker Xiaomi Inc [XTC.UL] said on Thursday they will jointly develop mobile payment systems using wearable technology, a first for China's major tech firms.UPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources BRUSSELS, April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform, two people with knowledge of the matter said.   China's Alibaba finance arm, Xiaomi partner in wearable paymentsUPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources BRUSSELS, April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform, two people with knowledge of the matter said.  UPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources BRUSSELS, April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform, two people with knowledge of the matter said. BEIJING Alibaba Group Holding Ltd's  finance arm and smartphone maker Xiaomi Inc [XTC.UL] said on Thursday they will jointly develop mobile payment systems using wearable technology, a first for China's major tech firms.UPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources BRUSSELS, April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform, two people with knowledge of the matter said.  BEIJING, April 2 Alibaba Group Holding Ltd's  finance arm and smartphone maker Xiaomi Inc  said on Thursday they will jointly develop mobile payment systems using wearable technology, a first for China's major tech firms.China's Alibaba finance arm, Xiaomi partner in wearable paymentsUPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources BRUSSELS, April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform, two people with knowledge of the matter said.  UPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources BRUSSELS, April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform, two people with knowledge of the matter said. BEIJING Alibaba Group Holding Ltd's  finance arm and smartphone maker Xiaomi Inc [XTC.UL] said on Thursday they will jointly develop mobile payment systems using wearable technology, a first for China's major tech firms.UPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources BRUSSELS, April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform, two people with knowledge of the matter said.   
BLK,Funding Circle to get Temasek, Blackrock funding - Sky LONDON, April 2 Singapore's sovereign wealth fund Temasek and money manager BlackRock are set to buy stakes in Funding Circle in deals that could value the British peer-to-peer lending platform at more than $1 billion, Sky News said on Thursday. 
