GOOGL,Brief-Freshdesk gets $50 mln in new financing from Tiger Global, Google Capital, Accel Partners April 20 Freshdesk says gets $50 mln in new financing from Tiger Global, Google Capital And Accel Partners Freshdesk - co to use funds to further invest in products and scale to meet demand   (Reporting By Aditya Kondalamahanty in Bengaluru) 
GOOG,Brief-Freshdesk gets $50 mln in new financing from Tiger Global, Google Capital, Accel Partners April 20 Freshdesk says gets $50 mln in new financing from Tiger Global, Google Capital And Accel Partners Freshdesk - co to use funds to further invest in products and scale to meet demand   (Reporting By Aditya Kondalamahanty in Bengaluru) 
BHI,Halliburton posts quarterly loss on $1.21 bln chargeHalliburton profit surges past expectations as cost cuts pay offLower cost cuts at Halliburton may give Schlumberger near-term edge April 20 Halliburton Co's decision to cut fewer jobs and keep its logistics network intact to capitalize on its pending merger with Baker Hughes Inc  could give Schlumberger NV an edge at a time when cost cuts look like the best way forward.  Lower cost cuts at Halliburton may give Schlumberger near-term edge April 20 Halliburton Co's decision to cut fewer jobs and keep its logistics network intact to capitalize on its pending merger with Baker Hughes Inc  could give Schlumberger NV an edge at a time when cost cuts look like the best way forward. Halliburton Co's  quarterly profit beat analyst expectations by the biggest margin in at least eight quarters as cost cuts helped the oilfield services provider offset a steep fall in drilling in North America, its biggest market.Lower cost cuts at Halliburton may give Schlumberger near-term edge April 20 Halliburton Co's decision to cut fewer jobs and keep its logistics network intact to capitalize on its pending merger with Baker Hughes Inc  could give Schlumberger NV an edge at a time when cost cuts look like the best way forward.   Halliburton profit surges past expectations as cost cuts pay offLower cost cuts at Halliburton may give Schlumberger near-term edge April 20 Halliburton Co's decision to cut fewer jobs and keep its logistics network intact to capitalize on its pending merger with Baker Hughes Inc  could give Schlumberger NV an edge at a time when cost cuts look like the best way forward.  Lower cost cuts at Halliburton may give Schlumberger near-term edge April 20 Halliburton Co's decision to cut fewer jobs and keep its logistics network intact to capitalize on its pending merger with Baker Hughes Inc  could give Schlumberger NV an edge at a time when cost cuts look like the best way forward. Halliburton Co's  quarterly profit beat analyst expectations by the biggest margin in at least eight quarters as cost cuts helped the oilfield services provider offset a steep fall in drilling in North America, its biggest market.Lower cost cuts at Halliburton may give Schlumberger near-term edge April 20 Halliburton Co's decision to cut fewer jobs and keep its logistics network intact to capitalize on its pending merger with Baker Hughes Inc  could give Schlumberger NV an edge at a time when cost cuts look like the best way forward.  April 20 Halliburton Co, which is buying smaller oilfield services provider Baker Hughes Inc for $35 billion, posted a quarterly loss compared with year-earlier profit as it took $1.21 billion in charges related to asset writedowns and other items.Halliburton profit surges past expectations as cost cuts pay offLower cost cuts at Halliburton may give Schlumberger near-term edge April 20 Halliburton Co's decision to cut fewer jobs and keep its logistics network intact to capitalize on its pending merger with Baker Hughes Inc  could give Schlumberger NV an edge at a time when cost cuts look like the best way forward.  Lower cost cuts at Halliburton may give Schlumberger near-term edge April 20 Halliburton Co's decision to cut fewer jobs and keep its logistics network intact to capitalize on its pending merger with Baker Hughes Inc  could give Schlumberger NV an edge at a time when cost cuts look like the best way forward. Halliburton Co's  quarterly profit beat analyst expectations by the biggest margin in at least eight quarters as cost cuts helped the oilfield services provider offset a steep fall in drilling in North America, its biggest market.Lower cost cuts at Halliburton may give Schlumberger near-term edge April 20 Halliburton Co's decision to cut fewer jobs and keep its logistics network intact to capitalize on its pending merger with Baker Hughes Inc  could give Schlumberger NV an edge at a time when cost cuts look like the best way forward.   
BLK,BlackRock to pay $12 mln in SEC conflict of interest caseBlackRock to pay $12 mln in SEC conflict of interest caseUPDATE 2-BlackRock to pay $12 mln in SEC conflict of interest case April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers.  UPDATE 2-BlackRock to pay $12 mln in SEC conflict of interest case April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers. BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers.UPDATE 2-BlackRock to pay $12 mln in SEC conflict of interest case April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers.   BlackRock to pay $12 mln in SEC conflict of interest caseUPDATE 2-BlackRock to pay $12 mln in SEC conflict of interest case April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers.  UPDATE 2-BlackRock to pay $12 mln in SEC conflict of interest case April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers. BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers.UPDATE 2-BlackRock to pay $12 mln in SEC conflict of interest case April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers.  April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve U.S. Securities and Exchange Commission charges that a unit failed to disclose a conflict of interest created by the outside business activity of a top portfolio manager.BlackRock to pay $12 mln in SEC conflict of interest caseUPDATE 2-BlackRock to pay $12 mln in SEC conflict of interest case April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers.  UPDATE 2-BlackRock to pay $12 mln in SEC conflict of interest case April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers. BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers.UPDATE 2-BlackRock to pay $12 mln in SEC conflict of interest case April 20 BlackRock Inc, one of the world's largest asset managers, agreed to pay $12 million to resolve civil charges that one of its unit failed to disclose a conflict of interest created by one of its top portfolio managers.   
CVX,U.S. court hears Chevron's fraud claims in $9.5 bln Ecuador disputeU.S. court hears Chevron's fraud claims in $9.5 billion Ecuador dispute Chevron Corp urged a U.S. appeals court on Monday to uphold a ruling finding that an American lawyer used corrupt means to secure a $9.5 billion pollution judgment in Ecuador.A lawyer for Chevron told the 2nd U.S. Circuit Court of Appeals in New York that Steven Donziger, a U.S. lawyer who represented a group of Ecuadorians that sued the oil giant, pursued a case "shot through with fraud."  U.S. court hears Chevron's fraud claims in $9.5 billion Ecuador dispute Chevron Corp urged a U.S. appeals court on Monday to uphold a ruling finding that an American lawyer used corrupt means to secure a $9.5 billion pollution judgment in Ecuador.A lawyer for Chevron told the 2nd U.S. Circuit Court of Appeals in New York that Steven Donziger, a U.S. lawyer who represented a group of Ecuadorians that sued the oil giant, pursued a case "shot through with fraud." April 20 Chevron Corp urged a U.S. appeals court on Monday to uphold a ruling finding that an American lawyer used corrupt means to secure a $9.5 billion pollution judgment in Ecuador.U.S. court hears Chevron's fraud claims in $9.5 billion Ecuador dispute Chevron Corp urged a U.S. appeals court on Monday to uphold a ruling finding that an American lawyer used corrupt means to secure a $9.5 billion pollution judgment in Ecuador.A lawyer for Chevron told the 2nd U.S. Circuit Court of Appeals in New York that Steven Donziger, a U.S. lawyer who represented a group of Ecuadorians that sued the oil giant, pursued a case "shot through with fraud."  
C,CIB to submit offer for Citigroup's Egyptian retail portfolio CAIRO, April 20 Egypt's Commercial International Bank (CIB) said on Monday its management had decided to submit a binding offer to acquire Citigroup's retail portfolio in Egypt. 
FB,Health insurer Oscar pulls in another $145 million in fundingUPDATE 3-Fugitive fails to revive Facebook lawsuit, block criminal caseFugitive fails to revive Facebook lawsuit, block criminal case NEW YORK A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg.  Fugitive fails to revive Facebook lawsuit, block criminal case NEW YORK A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg. NEW YORK, April 20 A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg.Fugitive fails to revive Facebook lawsuit, block criminal case NEW YORK A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg.   UPDATE 3-Fugitive fails to revive Facebook lawsuit, block criminal caseFugitive fails to revive Facebook lawsuit, block criminal case NEW YORK A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg.  Fugitive fails to revive Facebook lawsuit, block criminal case NEW YORK A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg. NEW YORK, April 20 A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg.Fugitive fails to revive Facebook lawsuit, block criminal case NEW YORK A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg.  April 20 Oscar Insurance, a privately held health insurer that aims to shake up the industry with technology-driven services for individual consumers, on Monday said it had secured $145 million in new funding.UPDATE 3-Fugitive fails to revive Facebook lawsuit, block criminal caseFugitive fails to revive Facebook lawsuit, block criminal case NEW YORK A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg.  Fugitive fails to revive Facebook lawsuit, block criminal case NEW YORK A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg. NEW YORK, April 20 A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg.Fugitive fails to revive Facebook lawsuit, block criminal case NEW YORK A federal appeals court on Monday forcefully rejected the fugitive Paul Ceglia's effort to revive what U.S. prosecutors have called his fraudulent lawsuit to extort social media company Facebook Inc and its founder Mark Zuckerberg.   
F,UPDATE 1-Foreign automakers double down on China bets despite slowing growth SHANGHAI, April 20 Foreign automakers continue to plough money into factories in China, the world's largest car market, even as the biggest economic slowdown in a quarter of a century crimps sales growth. 
GE,GE in talks to sell $74 bln portfolio to Wells FargoUPDATE 2-GE in talks to sell lending, leasing portfolio to Wells Fargo-sourceGE in talks to sell lending, leasing portfolio to Wells Fargo: source General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation.  GE in talks to sell lending, leasing portfolio to Wells Fargo: source General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation. April 20 General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation.GE in talks to sell lending, leasing portfolio to Wells Fargo: source General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation.   UPDATE 2-GE in talks to sell lending, leasing portfolio to Wells Fargo-sourceGE in talks to sell lending, leasing portfolio to Wells Fargo: source General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation.  GE in talks to sell lending, leasing portfolio to Wells Fargo: source General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation. April 20 General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation.GE in talks to sell lending, leasing portfolio to Wells Fargo: source General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation.  April 20 General Electric Co is in early-stage talks with Wells Fargo about selling the bank its entire $74 billion U.S. commercial lending and leasing portfolio, according to a source familiar with the situation.UPDATE 2-GE in talks to sell lending, leasing portfolio to Wells Fargo-sourceGE in talks to sell lending, leasing portfolio to Wells Fargo: source General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation.  GE in talks to sell lending, leasing portfolio to Wells Fargo: source General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation. April 20 General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation.GE in talks to sell lending, leasing portfolio to Wells Fargo: source General Electric Co is in early-stage talks with Wells Fargo & Co about selling its entire $74 billion U.S. commercial lending and leasing (CLL) portfolio to the bank, according to a source familiar with the situation.   
GM,Einhorn's Greenlight Capital buys into GM againEinhorn's Greenlight Capital buys into GM again Hedge fund manager David Einhorn's Greenlight Capital has taken a fresh stake in General Motors Co, nearly a year after exiting its position in the automaker, the firm said in a letter to clients on Monday.  Einhorn's Greenlight Capital buys into GM again Hedge fund manager David Einhorn's Greenlight Capital has taken a fresh stake in General Motors Co, nearly a year after exiting its position in the automaker, the firm said in a letter to clients on Monday. April 20 Hedge fund manager David Einhorn's Greenlight Capital has taken a fresh stake in General Motors Co , nearly a year after exiting its position in the automaker, the firm said in a letter to clients on Monday.Einhorn's Greenlight Capital buys into GM again Hedge fund manager David Einhorn's Greenlight Capital has taken a fresh stake in General Motors Co, nearly a year after exiting its position in the automaker, the firm said in a letter to clients on Monday.  
