BLK,BlackRock shares could rise further -Barron's Oct 27 Shares of money manager BlackRock Inc  have even more room to climb, keeping up its recent streak, Barron's reported in its Oct. 28 edition. 
CVX,Romanian farmers choose subsistence over shale gas PUNGESTI, Romania, Oct 27 The small hilly town of Pungesti in eastern Romania could be sitting on vast reserves of shale gas and U.S. energy major Chevron wants to find it. 
MSFT,GLOBAL MARKETS-Record high on Wall Street lifts Asian spirits * Upbeat earnings from Microsoft, Amazon.com drive Wall St to record high 
