AA,Alcoa to close smelter in ItalyUPDATE 2-Alcoa to close smelter in Italy, take 3rd-quarter charge Aug 25 Aluminum producer Alcoa Inc said on Monday it will permanently close its Portovesme smelter on the Italian island of Sardinia.  UPDATE 2-Alcoa to close smelter in Italy, take 3rd-quarter charge Aug 25 Aluminum producer Alcoa Inc said on Monday it will permanently close its Portovesme smelter on the Italian island of Sardinia. Aug 25 Aluminum producer Alcoa said it would permanently close its Portovesme smelter on the Italian island of Sardinia.UPDATE 2-Alcoa to close smelter in Italy, take 3rd-quarter charge Aug 25 Aluminum producer Alcoa Inc said on Monday it will permanently close its Portovesme smelter on the Italian island of Sardinia.  
GOOGL,Amazon in talks to buy live-streaming game site Twitch -reportIndia's Karbonn Mobiles expects to go public by 2016WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)  WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details) Karbonn Mobiles, the third-largest smartphone maker in India, expects to go public by 2016 as it bets on sales of Android devices made in partnership with Google Inc to boost revenue growth.WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)   India's Karbonn Mobiles expects to go public by 2016WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)  WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details) Karbonn Mobiles, the third-largest smartphone maker in India, expects to go public by 2016 as it bets on sales of Android devices made in partnership with Google Inc to boost revenue growth.WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)  SAN FRANCISCO, Aug 25 Amazon.com Inc is in discussions to acquire Twitch, the live-streaming gaming network that Google Inc had reportedly expressed an interest in buying, tech blog The Information reported on Monday, citing two people familiar with the matter.India's Karbonn Mobiles expects to go public by 2016WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)  WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details) Karbonn Mobiles, the third-largest smartphone maker in India, expects to go public by 2016 as it bets on sales of Android devices made in partnership with Google Inc to boost revenue growth.WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)   
GOOG,Amazon in talks to buy live-streaming game site Twitch -reportIndia's Karbonn Mobiles expects to go public by 2016WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)  WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details) Karbonn Mobiles, the third-largest smartphone maker in India, expects to go public by 2016 as it bets on sales of Android devices made in partnership with Google Inc to boost revenue growth.WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)   India's Karbonn Mobiles expects to go public by 2016WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)  WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details) Karbonn Mobiles, the third-largest smartphone maker in India, expects to go public by 2016 as it bets on sales of Android devices made in partnership with Google Inc to boost revenue growth.WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)  SAN FRANCISCO, Aug 25 Amazon.com Inc is in discussions to acquire Twitch, the live-streaming gaming network that Google Inc had reportedly expressed an interest in buying, tech blog The Information reported on Monday, citing two people familiar with the matter.India's Karbonn Mobiles expects to go public by 2016WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)  WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details) Karbonn Mobiles, the third-largest smartphone maker in India, expects to go public by 2016 as it bets on sales of Android devices made in partnership with Google Inc to boost revenue growth.WRAPUP 1-Amazon snaps up live video startup Twitch for $970M cash (Combines stories on Amazon announcing the deal with background; adds comments from Amazon, details)   
MO,E-cigs may be tempting non-smoking youths to smoke - CDC study CHICAGO, Aug 25 Electronic cigarettes may be more tempting to non-smoking youths than conventional cigarettes, and once young people have tried e-cigarettes they are more inclined to give regular cigarettes a try, U.S. researchers said on Monday. 
