AMZN,Jeff Bezos' rocket company to begin suborbital test flights this year CAPE CANAVERAL, Fla., April 7 A space company owned by Amazon.com founder Jeff Bezos has finished work on a rocket engine for a suborbital spaceship and expects to begin flight tests this year, Blue Origin officials said on Tuesday. 
BAC,MOVES-BofA Merrill Lynch hires Michael Casey from Morgan Stanley April 7 Bank of America Merrill Lynch hired Michael Casey from Morgan Stanley as director of its Nevada Boise complex. 
BA,UPDATE 2-Boeing beats Airbus in Q1 net orders, deliveries PARIS, April 7 U.S. planemaker Boeing  beat European rival Airbus in net new orders and deliveries in the first quarter, according to figures released on Tuesday. 
DLTR,Dollar Tree says FTC wants 340 stores sold ahead of Family Dollar dealUPDATE 1-Dollar Tree says FTC wants 340 stores sold ahead of Family Dollar deal April 7 Dollar Tree Inc said the U.S. Federal Trade Commission has identified about 340 stores to be divested for the $8.5 billion takeover of Family Dollar Stores Inc to go through.  UPDATE 1-Dollar Tree says FTC wants 340 stores sold ahead of Family Dollar deal April 7 Dollar Tree Inc said the U.S. Federal Trade Commission has identified about 340 stores to be divested for the $8.5 billion takeover of Family Dollar Stores Inc to go through. April 7 Dollar Tree Inc said the U.S. Federal Trade Commission has identified about 340 stores to be divested for the $8.5 billion takeover of Family Dollar Stores Inc to go through.UPDATE 1-Dollar Tree says FTC wants 340 stores sold ahead of Family Dollar deal April 7 Dollar Tree Inc said the U.S. Federal Trade Commission has identified about 340 stores to be divested for the $8.5 billion takeover of Family Dollar Stores Inc to go through.  
XOM,UPDATE 3-Shell seeking to buy BG in first oil super-merger in over a decade April 7 Royal Dutch Shell is in advanced talks to buy BG Group in the first oil super-merger since early 2000s to extend its global lead in gas production and close the gap with the world's biggest oil major U.S. ExxonMobil. 
