AGN,Allergan rebuffed in seeking offers to combat Valeant bid-report (Refiled to remove extraneous text characters in headline) 
MRO,Severstal puts North American steel operations up for sale -WSJ May 11 Russian steelmaker Severstal  has put its North American operations on the auction block, according to people familiar with the matter, The Wall Street Journal reported on its website. 
PFE,UK labs play shrinking role in AstraZeneca drug portfolioUK's Cameron says making good progress on Pfizer guarantees LONDON, May 11 British Prime Minister David Cameron said on Sunday he had made very good progress in securing guarantees from Pfizer over the U.S. drugmaker's $106 billion bid to buy AstraZeneca.  UK's Cameron says making good progress on Pfizer guarantees LONDON, May 11 British Prime Minister David Cameron said on Sunday he had made very good progress in securing guarantees from Pfizer over the U.S. drugmaker's $106 billion bid to buy AstraZeneca. * Global drug companies agnostic in sourcing best scienceUK's Cameron says making good progress on Pfizer guarantees LONDON, May 11 British Prime Minister David Cameron said on Sunday he had made very good progress in securing guarantees from Pfizer over the U.S. drugmaker's $106 billion bid to buy AstraZeneca.  
TWX,Time Warner said to hold talks to buy Fullscreen Network - Bloomberg May 11 Time Warner Inc has held talks to acquire Fullscreen Inc, one of the popular YouTube video networks, a person with knowledge of the matter said, according to an article in Bloomberg on Saturday. 
WMT,Fired from Walmart, Mrs Wang is now gunning for China's state labour unionFired from Walmart, Mrs Wang is now gunning for China's state labor union SHENZHEN, China When Wang Yafang was fired from her job at a Walmart in southern China in July 2011 for dishonesty, she refused to sign the termination papers and even showed up at work the next day - only to be sent away.  Fired from Walmart, Mrs Wang is now gunning for China's state labor union SHENZHEN, China When Wang Yafang was fired from her job at a Walmart in southern China in July 2011 for dishonesty, she refused to sign the termination papers and even showed up at work the next day - only to be sent away. SHENZHEN, China, May 11 When Wang Yafang was fired from her job at a Walmart in southern China in July 2011 for dishonesty, she refused to sign the termination papers and even showed up at work the next day - only to be sent away.Fired from Walmart, Mrs Wang is now gunning for China's state labor union SHENZHEN, China When Wang Yafang was fired from her job at a Walmart in southern China in July 2011 for dishonesty, she refused to sign the termination papers and even showed up at work the next day - only to be sent away.  
