APA,EXCLUSIVE-Apache explores Gulf of Mexico shelf stake sale-sources NEW YORK, May 28 Apache Corp is exploring a sale of a stake in its shallow water Gulf of Mexico assets, attracting private equity interest as it looks to reach a $4 billion asset sale target, several people familiar with the matter said. 
AAPL,Hon Hai, Mozilla to launch mobile device running on FirefoxHon Hai, Mozilla to launch mobile device running on FirefoxRPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris.  RPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris. TAIPEI Taiwan's Hon Hai Precision Industry Co Ltd will team up with Mozilla and launch a mobile device that runs on the U.S. company's Firefox operating system, a Mozilla spokeswoman said, as Hon Hai looks to diversify its client base away from Apple.RPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris.   Hon Hai, Mozilla to launch mobile device running on FirefoxRPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris.  RPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris. TAIPEI Taiwan's Hon Hai Precision Industry Co Ltd will team up with Mozilla and launch a mobile device that runs on the U.S. company's Firefox operating system, a Mozilla spokeswoman said, as Hon Hai looks to diversify its client base away from Apple.RPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris.  TAIPEI, May 28 Taiwan's Hon Hai Precision Industry Co Ltd will team up with Mozilla and launch a mobile device that runs on the U.S. company's Firefox operating system, a Mozilla spokeswoman said, as Hon Hai looks to diversify its client base away from Apple.Hon Hai, Mozilla to launch mobile device running on FirefoxRPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris.  RPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris. TAIPEI Taiwan's Hon Hai Precision Industry Co Ltd will team up with Mozilla and launch a mobile device that runs on the U.S. company's Firefox operating system, a Mozilla spokeswoman said, as Hon Hai looks to diversify its client base away from Apple.RPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris.   
CVX,UPDATE 1-Chevron targets Australia LNG expansion despite cost pressure * Gorgon LNG 60 pct complete, Wheatstone 10 pct - Chevron executive 
C,Citi settles lawsuit by FHFA over $3.5 bln in mortgage securities NEW YORK, May 28 Citigroup Inc has reached a settlement of lawsuit by a federal agency accusing the bank of misleading Fannie Mae and Freddie Mac into buying $3.5 billion of mortgage-backed securities, a court filing said Tuesday. 
FB,RPT-The new tech palaces: visionary HQs, or cursed trophies? SEATTLE/SAN FRANCISCO, May 28 While much of corporate America is retrenching on the real estate front, the four most influential technology companies in America are each planning headquarters that could win a Pritzker Architecture Prize for hubris. 
JPM,EFSF names leads for new four-year euro bond - leadNew Issue-Ceska Exportni Banka prices 250 mln euro 2016 FRNEx-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking.  Ex-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking. Borrower                Ceska Exportni Banka AS (Czech Export Bank)Ex-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking.   New Issue-Ceska Exportni Banka prices 250 mln euro 2016 FRNEx-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking.  Ex-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking. Borrower                Ceska Exportni Banka AS (Czech Export Bank)Ex-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking.  LONDON, May 28 (IFR) - The EFSF on Tuesday announced that it had mandated Barclays, Credit Agricole and JP Morgan to run a new four-year euro benchmark transaction and that it had started collecting indications of interest in the area of mid-single digits over mid-swaps.New Issue-Ceska Exportni Banka prices 250 mln euro 2016 FRNEx-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking.  Ex-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking. Borrower                Ceska Exportni Banka AS (Czech Export Bank)Ex-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking.   
LMT,UPDATE 1-Pratt & Whitney finalizes $1 bln F-35 jet engine deal WASHINGTON, May 28 Pratt & Whitney, a unit of United Technologies Corp, on Tuesday said it finalized a $1 billion deal with the Pentagon for a fifth batch of engines for the single-engine Lockheed Martin Corp F-35 fighter jet. 
MSFT,Cisco challenges Microsoft buy of Skype in EU court * Cisco says European Commission was wrong to approve deal 
MS,Ex-Morgan Stanley banker to join JPMorgan's commercial group May 28 JPMorgan Chase & Co said on Tuesday it had hired Travis Machen to head its financial institutions group within commercial banking. 
NWSA,News Corp promises "relentless" cuts at newspapersUPDATE 2-Murdoch aims to defy naysayers with new News Corp May 28 Rupert Murdoch tried to convince Wall Street on Tuesday that there is still money to be made in newspapers, reminding investors that he had defied skeptics over the past 60 years to build one of the world's biggest media empires.  UPDATE 2-Murdoch aims to defy naysayers with new News Corp May 28 Rupert Murdoch tried to convince Wall Street on Tuesday that there is still money to be made in newspapers, reminding investors that he had defied skeptics over the past 60 years to build one of the world's biggest media empires. May 28 Robert Thomson, chief executive of the new News Corp, said there will be "relentless" cost cuts in store for the newspaper business as it prepares to separate from Rupert Murdoch's entertainment empire.UPDATE 2-Murdoch aims to defy naysayers with new News Corp May 28 Rupert Murdoch tried to convince Wall Street on Tuesday that there is still money to be made in newspapers, reminding investors that he had defied skeptics over the past 60 years to build one of the world's biggest media empires.  
NWS,News Corp promises "relentless" cuts at newspapersUPDATE 2-Murdoch aims to defy naysayers with new News Corp May 28 Rupert Murdoch tried to convince Wall Street on Tuesday that there is still money to be made in newspapers, reminding investors that he had defied skeptics over the past 60 years to build one of the world's biggest media empires.  UPDATE 2-Murdoch aims to defy naysayers with new News Corp May 28 Rupert Murdoch tried to convince Wall Street on Tuesday that there is still money to be made in newspapers, reminding investors that he had defied skeptics over the past 60 years to build one of the world's biggest media empires. May 28 Robert Thomson, chief executive of the new News Corp, said there will be "relentless" cost cuts in store for the newspaper business as it prepares to separate from Rupert Murdoch's entertainment empire.UPDATE 2-Murdoch aims to defy naysayers with new News Corp May 28 Rupert Murdoch tried to convince Wall Street on Tuesday that there is still money to be made in newspapers, reminding investors that he had defied skeptics over the past 60 years to build one of the world's biggest media empires.  
NKE,Lance Armstrong-founded charity says Nike drops sponsorship May 28 The Livestrong Foundation, the cancer charity founded by disgraced cyclist Lance Armstrong, said on Tuesday that Nike Inc had dropped its sponsorship of the group, which is known for its distinctive yellow wristbands. 
TIF,Tiffany 1st-quarter sales rise 9 percent, better than expectedUPDATE 2-Tiffany's high-end jewelry sells briskly; lower end lags May 28 Tiffany & Co's first-quarter sales topped expectations, boosted by improved demand for upscale jewelry especially in the United States and Japan.  UPDATE 2-Tiffany's high-end jewelry sells briskly; lower end lags May 28 Tiffany & Co's first-quarter sales topped expectations, boosted by improved demand for upscale jewelry especially in the United States and Japan. May 28 Tiffany & Co on Tuesday reported higher-than-expected sales for the first quarter that included Valentine's Day, helped by gains in all regions and promotions around the jeweler's 175th anniversary and the 'The Great Gatsby' motion picture.UPDATE 2-Tiffany's high-end jewelry sells briskly; lower end lags May 28 Tiffany & Co's first-quarter sales topped expectations, boosted by improved demand for upscale jewelry especially in the United States and Japan.  
YHOO,Singapore to regulate Yahoo!, other online news sites SINGAPORE, May 28 Websites that regularly report on Singapore including Yahoo! News will have to get a license from June 1, putting them on par with newspapers and television new outlets, in a move seen by some as a bid to rein in free-wheeling Internet news. 
