ACN,Monte Paschi outsources back-office ops, 1,100 jobs MILAN, Nov 29 Banca Monte dei Paschi di Siena  has reached an agreement to outsource its back-office operations and move 1,100 workers to a joint venture between Italian company Bassilichi and consultancy Accenture, it said on Friday. 
AMZN,Amazon Germany says more worried about snow than strikes HAMBURG Amazon.com Inc  has no intention of bowing to pressure from striking workers in Germany, its second biggest market behind the United States, and is more worried about bad weather hurting Christmas deliveries, its country head said. 
ADM,Australia shares slip, GrainCorp plunges after takeover blockedADM to consider increasing stake in GrainCorpAustralia shares post first monthly loss since June, GrainCorp slumpsPRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 22 percent after the government blocked a takeover bid from Archer Daniels Midland.PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds    Australia shares post first monthly loss since June, GrainCorp slumpsPRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 22 percent after the government blocked a takeover bid from Archer Daniels Midland.PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   SYDNEY, Nov 29 Archer Daniels Midland (ADM)  said it will consider increasing its stake in GrainCorp  after its takeover bid for the grain handler was rejected by the Australian Treasurer on Friday.Australia shares post first monthly loss since June, GrainCorp slumpsPRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 22 percent after the government blocked a takeover bid from Archer Daniels Midland.PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds     ADM to consider increasing stake in GrainCorpAustralia shares post first monthly loss since June, GrainCorp slumpsPRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 22 percent after the government blocked a takeover bid from Archer Daniels Midland.PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds    Australia shares post first monthly loss since June, GrainCorp slumpsPRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 22 percent after the government blocked a takeover bid from Archer Daniels Midland.PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   SYDNEY, Nov 29 Archer Daniels Midland (ADM)  said it will consider increasing its stake in GrainCorp  after its takeover bid for the grain handler was rejected by the Australian Treasurer on Friday.Australia shares post first monthly loss since June, GrainCorp slumpsPRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 22 percent after the government blocked a takeover bid from Archer Daniels Midland.PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds    SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 26 percent after the government blocked a takeover bid from Archer Daniels Midland.ADM to consider increasing stake in GrainCorpAustralia shares post first monthly loss since June, GrainCorp slumpsPRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 22 percent after the government blocked a takeover bid from Archer Daniels Midland.PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds    Australia shares post first monthly loss since June, GrainCorp slumpsPRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 22 percent after the government blocked a takeover bid from Archer Daniels Midland.PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   SYDNEY, Nov 29 Archer Daniels Midland (ADM)  said it will consider increasing its stake in GrainCorp  after its takeover bid for the grain handler was rejected by the Australian Treasurer on Friday.Australia shares post first monthly loss since June, GrainCorp slumpsPRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds   PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  SYDNEY, Nov 29 Australian shares slipped 0.3 percent on Friday amid an absence of strong offshore leads after U.S. markets were closed for Thanksgiving, while GrainCorp Ltd  plunged 22 percent after the government blocked a takeover bid from Archer Daniels Midland.PRESS DIGEST - Wall Street Journal - Nov 29UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds  UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds Nov 29 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.UPDATE 5-Australia spurns ADM's $2.6 bln GrainCorp bid, shares drop * Treasurer Hockey rejects offer on national interest grounds     
GPS,REFILE-UPDATE 1-Key Bangladesh garments factory destroyed in blaze DHAKA, Nov 29 A devastating fire ripped through a Bangladesh garment factory supplying major Western retailers, police and industry officials said on Friday, in a blaze set by workers angered over rumours of a colleague's death in police firing. 
GM,S.Korea buys 200,000 T non-GM soybeans for 2015General Motors appoints Matt Tsien as China president SHANGHAI, Nov 29 General Motors Co said on Friday it has appointed Matt Tsien as president of GM China, replacing Bob Socia, who will retire on Jan. 1, 2014.  General Motors appoints Matt Tsien as China president SHANGHAI, Nov 29 General Motors Co said on Friday it has appointed Matt Tsien as president of GM China, replacing Bob Socia, who will retire on Jan. 1, 2014. SEOUL, Nov 29 South Korea has bought a combined 200,000 tonnes of U.S. non-genetically modified (non-GM) yellow soybeans for 2015 arrival via tenders closed on Thursday, Korea Agro-Fisheries & Food Trade Corp said on its website. (www.at.or.kr)     Details of the purchase are as follows:    -- General Type (Bulk)    TONNES  SUPPLIER             PRICE(CFR/T)     ARRIVAL    25,000  CJ Cheiljedang Corp  $203.46          Jan.20, 2015                25,000  CJ Cheiljedang Corp  $209.95   General Motors appoints Matt Tsien as China president SHANGHAI, Nov 29 General Motors Co said on Friday it has appointed Matt Tsien as president of GM China, replacing Bob Socia, who will retire on Jan. 1, 2014.  
GS,Goldman Sachs sued in Singapore penny stock saga SINGAPORE, Nov 30 A shareholder who suffered losses in a penny stock trading debacle in Singapore is suing Goldman Sachs, accusing the investment bank of arbitrarily selling her holdings and saying the sales contributed to a crash in their prices. 
MET,Five insurers in final round for Citi's Asia bank distribution deal HONG KONG, Nov 29 Five insurers including Metlife Inc and Manulife Financial Corp have submitted final bids to have their products distributed by Citigroup in Asia, a deal estimated to generate more than $10 billion in revenue over 15 years, people familiar with the matter told Reuters. 
DIS,'Catching Fire,' 'Frozen' heat up Thanksgiving film box office LOS ANGELES, Nov 29 Action film "The Hunger Games: Catching Fire" led the North American box office with ticket sales of $35.6 million over the first two days of the long U.S. Thanksgiving weekend that began on Wednesday, while Disney's animated "Frozen," sold a hefty $26.3 million. 
WMT,UPDATE 2-Fights, store evacuation mar U.S. holiday shopping rush Nov 29 The post-Thanksgiving shopping rush sparked incidents of violence across the United States as a police officer was injured breaking up a fight, a shopper was shot in the leg over a TV and a Walmart was evacuated, according to police and media reports. 
