AET,Health insurer Humana's quarterly revenue risesUPDATE 2-Health insurer Humana takes 4Q charge for 2016 individual losses Feb 10 Health insurer Humana Inc, which is being bought by rival Aetna Inc, on Wednesday said that it had set aside 74 cents per share in the fourth quarter to cover anticipated shortfalls in its 2016 individual health plan business.  UPDATE 2-Health insurer Humana takes 4Q charge for 2016 individual losses Feb 10 Health insurer Humana Inc, which is being bought by rival Aetna Inc, on Wednesday said that it had set aside 74 cents per share in the fourth quarter to cover anticipated shortfalls in its 2016 individual health plan business. Feb 10 Health insurer Humana Inc, which is being bought by rival Aetna Inc, reported an 8.4 percent rise in quarterly total revenue, helped by strength in its Medicare Advantage business.UPDATE 2-Health insurer Humana takes 4Q charge for 2016 individual losses Feb 10 Health insurer Humana Inc, which is being bought by rival Aetna Inc, on Wednesday said that it had set aside 74 cents per share in the fourth quarter to cover anticipated shortfalls in its 2016 individual health plan business.  
GOOGL,In boost to self-driving cars, U.S. tells Google computers can qualify as driversGoogle to scrub web search results more widely to soothe EU objections * EU court ruled Europeans had a "right to be forgotten" online  Google to scrub web search results more widely to soothe EU objections * EU court ruled Europeans had a "right to be forgotten" online WASHINGTON/DETROIT U.S. vehicle safety regulators have said the artificial intelligence system piloting a self-driving Google car could be considered the driver under federal law, a major step toward ultimately winning approval for autonomous vehicles on the roads.Google to scrub web search results more widely to soothe EU objections * EU court ruled Europeans had a "right to be forgotten" online  
GOOG,In boost to self-driving cars, U.S. tells Google computers can qualify as driversGoogle to scrub web search results more widely to soothe EU objections * EU court ruled Europeans had a "right to be forgotten" online  Google to scrub web search results more widely to soothe EU objections * EU court ruled Europeans had a "right to be forgotten" online WASHINGTON/DETROIT U.S. vehicle safety regulators have said the artificial intelligence system piloting a self-driving Google car could be considered the driver under federal law, a major step toward ultimately winning approval for autonomous vehicles on the roads.Google to scrub web search results more widely to soothe EU objections * EU court ruled Europeans had a "right to be forgotten" online  
AMZN,Amazon expands logistics reach in ChinaTop Amazon executive to take 2-year post with Italian prime minister ROME, Feb 10 A top executive at Amazon.com, Diego Piacentini, is taking a two-year leave of absence to lead Italian Prime Minister Matteo Renzi's digital technology office, the company said on Wednesday.  Top Amazon executive to take 2-year post with Italian prime minister ROME, Feb 10 A top executive at Amazon.com, Diego Piacentini, is taking a two-year leave of absence to lead Italian Prime Minister Matteo Renzi's digital technology office, the company said on Wednesday. SAN FRANCISCO/SHANGHAI Amazon.com Inc  is aggressively expanding its logistics operations in China as part of a broader effort to control the rising cost of shipping billions of packages. | Top Amazon executive to take 2-year post with Italian prime minister ROME, Feb 10 A top executive at Amazon.com, Diego Piacentini, is taking a two-year leave of absence to lead Italian Prime Minister Matteo Renzi's digital technology office, the company said on Wednesday. VideoTop Amazon executive to take 2-year post with Italian prime minister ROME, Feb 10 A top executive at Amazon.com, Diego Piacentini, is taking a two-year leave of absence to lead Italian Prime Minister Matteo Renzi's digital technology office, the company said on Wednesday.  Top Amazon executive to take 2-year post with Italian prime minister ROME, Feb 10 A top executive at Amazon.com, Diego Piacentini, is taking a two-year leave of absence to lead Italian Prime Minister Matteo Renzi's digital technology office, the company said on Wednesday.  
AXP,Buffett's Berkshire buys $1 bln worth of Phillips 66 stock in 2016 Feb 10 Berkshire Hathaway Inc has bought an additional $1 billion of stock in Phillips 66  this year, and now owns roughly 14.1 percent of the oil refiner. 
CBS,Viacom investor SpringOwl urges independent directors to quitViacom's past share buyback binge leaves investors hungryViacom's past share buyback binge leaves investors hungryUPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman. In a conference call after the company's disappointing results on Tuesday, Viacom Inc  Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.   Viacom's past share buyback binge leaves investors hungryUPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman. In a conference call after the company's disappointing results on Tuesday, Viacom Inc  Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  Feb 10 In a conference call after the company's disappointing results on Tuesday, Viacom Inc Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."Viacom's past share buyback binge leaves investors hungryUPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman. In a conference call after the company's disappointing results on Tuesday, Viacom Inc  Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.    Viacom's past share buyback binge leaves investors hungryViacom's past share buyback binge leaves investors hungryUPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman. In a conference call after the company's disappointing results on Tuesday, Viacom Inc  Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.   Viacom's past share buyback binge leaves investors hungryUPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman. In a conference call after the company's disappointing results on Tuesday, Viacom Inc  Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  Feb 10 In a conference call after the company's disappointing results on Tuesday, Viacom Inc Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."Viacom's past share buyback binge leaves investors hungryUPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman. In a conference call after the company's disappointing results on Tuesday, Viacom Inc  Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.   Feb 10 Viacom Inc investor SpringOwl Asset Management called for the media company's independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman as executive chairman.Viacom's past share buyback binge leaves investors hungryViacom's past share buyback binge leaves investors hungryUPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman. In a conference call after the company's disappointing results on Tuesday, Viacom Inc  Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.   Viacom's past share buyback binge leaves investors hungryUPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman. In a conference call after the company's disappointing results on Tuesday, Viacom Inc  Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  Feb 10 In a conference call after the company's disappointing results on Tuesday, Viacom Inc Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."Viacom's past share buyback binge leaves investors hungryUPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.  UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman. In a conference call after the company's disappointing results on Tuesday, Viacom Inc  Chief Executive Philippe Dauman, among other things, said he was "focused on getting Viacom's stock price back" to levels it had been "just a short time ago."UPDATE 2-Viacom investor SpringOwl urges independent directors to quit Feb 10 Viacom Inc investor SpringOwl Asset Management urged the media company's six independent directors to step down immediately, days after the board appointed Chief Executive Philippe Dauman to the additional post of executive chairman.    
CSCO,Cisco posts 2 pct rise in revenue, adds $15 bln to buybackUPDATE 2-Cisco beats profit estimates, adds $15 bln to buyback Feb 10 Network equipment maker Cisco Systems Inc  reported a bigger-than-expected quarterly profit, helped by higher demand for its routers and security products, and added $15 billion to its share buyback program.  UPDATE 2-Cisco beats profit estimates, adds $15 bln to buyback Feb 10 Network equipment maker Cisco Systems Inc  reported a bigger-than-expected quarterly profit, helped by higher demand for its routers and security products, and added $15 billion to its share buyback program. Feb 10 Network equipment maker Cisco Systems Inc  reported a 2 percent increase in quarterly revenue, and said it would add $15 billion to its share buyback program.UPDATE 2-Cisco beats profit estimates, adds $15 bln to buyback Feb 10 Network equipment maker Cisco Systems Inc  reported a bigger-than-expected quarterly profit, helped by higher demand for its routers and security products, and added $15 billion to its share buyback program.  
COP,U.S. approves ConocoPhillips LNG exports from Alaska Feb 9 The U.S. Department of Energy approved ConocoPhillips' application to export about 40 billion cubic feet of natural gas from its Kenai liquefied natural gas export terminal in Alaska over the next two years starting Feb. 19. 
ETR,TIMELINE-Entergy N.Y. Indian Point nuclear plant relicensingEntergy reports radioactive tritium leak at Indian Point Feb 10 Entergy Corp said on Wednesday it found elevated levels of tritium, a weak radioactive isotope of hydrogen, in groundwater samples at the Indian Point nuclear power plant in New York state.  Entergy reports radioactive tritium leak at Indian Point Feb 10 Entergy Corp said on Wednesday it found elevated levels of tritium, a weak radioactive isotope of hydrogen, in groundwater samples at the Indian Point nuclear power plant in New York state. Feb 10 - Entergy Corp is seeking a 20-year license renewal for the Indian Point nuclear power plant in New York. The plant is located about 40 miles north of Manhattan in the town of Buchanan on the shores of the Hudson River.Entergy reports radioactive tritium leak at Indian Point Feb 10 Entergy Corp said on Wednesday it found elevated levels of tritium, a weak radioactive isotope of hydrogen, in groundwater samples at the Indian Point nuclear power plant in New York state.  
EQT,UPDATE 4-Japan's Asahi closes in on SABMiller's Peroni and Grolsch * AB InBev seeking antitrust approval for SABMiller takeover   (Adds financial details from source) 
