BA,UPDATE 3-Boeing says Dreamliner reliability better but 'not satisfactory' OSLO, Jan 24 The reliability of Boeing's pioneering 787 Dreamliner jet is improving but is still not satisfactory, the planemaker's top official in charge of keeping the jet flying said on Friday. 
CMCSA,Comcast eyes Time Warner Cable's East Coast markets -source NEW YORK, Jan 24 No 1 cable provider Comcast , in its talks with Charter about a possible deal to acquire parts of Time Warner Cable, would be interested in an agreement that gives Comcast the New York market and parts of New England, a person familiar with the matter said on Friday. 
KO,Coca-Cola laptop theft could have compromised info for 74,000 -WSJ Jan 24 Beverage maker Coca-Cola Co on Friday said company laptops had been stolen from its headquarters in Atlanta and could have compromised information of about 74,000 people, according to a report in The Wall Street Journal. 
WMT,UPDATE 1-Wal-Mart's cuts 2,300 jobs at Sam's Club Jan 24 Wal-Mart Stores Inc said on Friday it had cut 2,300 jobs, or roughly 2 percent of the total workforce at its Sam's Club retail warehouse chain, its biggest round of layoffs since 2010. 
