AGN,Pfizer to create operating unit after Allergan deal closesUPDATE 1-Pfizer unveils management line up for combined company Feb 8 Pfizer Inc, which agreed to buy Allergan Plc for $160 billion last year, unveiled its management line up for the combined company, once the deal closes in the second half of 2016.  UPDATE 1-Pfizer unveils management line up for combined company Feb 8 Pfizer Inc, which agreed to buy Allergan Plc for $160 billion last year, unveiled its management line up for the combined company, once the deal closes in the second half of 2016. Feb 8 Pfizer Inc, which agreed to buy Allergan Plc for $160 billion last year, said it will create a new operating unit to house its consumer healthcare and Allergan's opthalmology and Botox units once the deal closes in the second half of 2016.UPDATE 1-Pfizer unveils management line up for combined company Feb 8 Pfizer Inc, which agreed to buy Allergan Plc for $160 billion last year, unveiled its management line up for the combined company, once the deal closes in the second half of 2016.  
GOOGL,Cloud and data analytics stocks extend losses after bloodbathUPDATE 2-Tech stocks extend losses, valuations dented Feb 8 Technology shares with lofty valuations, including those of midcap data analytics company Tableau Software Inc and Internet giant Facebook Inc, extended their losses on Monday following a gutting selloff in the previous session.  UPDATE 2-Tech stocks extend losses, valuations dented Feb 8 Technology shares with lofty valuations, including those of midcap data analytics company Tableau Software Inc and Internet giant Facebook Inc, extended their losses on Monday following a gutting selloff in the previous session. Feb 8 Shares of companies offering data analytics and cloud services, including Tableau Software Inc , fell sharply again on Monday amid worries that their customers were cutting spending.UPDATE 2-Tech stocks extend losses, valuations dented Feb 8 Technology shares with lofty valuations, including those of midcap data analytics company Tableau Software Inc and Internet giant Facebook Inc, extended their losses on Monday following a gutting selloff in the previous session.  
GOOG,Cloud and data analytics stocks extend losses after bloodbathUPDATE 2-Tech stocks extend losses, valuations dented Feb 8 Technology shares with lofty valuations, including those of midcap data analytics company Tableau Software Inc and Internet giant Facebook Inc, extended their losses on Monday following a gutting selloff in the previous session.  UPDATE 2-Tech stocks extend losses, valuations dented Feb 8 Technology shares with lofty valuations, including those of midcap data analytics company Tableau Software Inc and Internet giant Facebook Inc, extended their losses on Monday following a gutting selloff in the previous session. Feb 8 Shares of companies offering data analytics and cloud services, including Tableau Software Inc , fell sharply again on Monday amid worries that their customers were cutting spending.UPDATE 2-Tech stocks extend losses, valuations dented Feb 8 Technology shares with lofty valuations, including those of midcap data analytics company Tableau Software Inc and Internet giant Facebook Inc, extended their losses on Monday following a gutting selloff in the previous session.  
AAPL,BUZZ-Imagination Tech: CEO quits, Apple supplier warns on profitUPDATE 1-Imagination Tech CEO steps down; warns of operating loss * Will sell Pure digital radio business, focus on core operations  UPDATE 1-Imagination Tech CEO steps down; warns of operating loss * Will sell Pure digital radio business, focus on core operations ** Imagination Technologies, supplier of graphics technology to Apple, down c. 8 pct, biggest FTSE All Share loser & languishing near 2009 lowsUPDATE 1-Imagination Tech CEO steps down; warns of operating loss * Will sell Pure digital radio business, focus on core operations  
ADM,BRIEF-Tate & Lyle sells one Morocco corn mill to Archer DanielsUPDATE 1-ADM to buy Moroccan corn mill to boost sweetener footprint CHICAGO, Feb 8 Archer Daniels Midland Co , the U.S. agribusiness group, said it would buy a corn wet mill in Morocco from Tate & Lyle in the latest effort to boost its footprint in the sweetener and starch market after expanding in Eastern Europe last year.  UPDATE 1-ADM to buy Moroccan corn mill to boost sweetener footprint CHICAGO, Feb 8 Archer Daniels Midland Co , the U.S. agribusiness group, said it would buy a corn wet mill in Morocco from Tate & Lyle in the latest effort to boost its footprint in the sweetener and starch market after expanding in Eastern Europe last year. * Announces it has signed an agreement to sell its small, wholly owned corn wet mill in Casablanca, Morocco to Archer Daniels Midland companyUPDATE 1-ADM to buy Moroccan corn mill to boost sweetener footprint CHICAGO, Feb 8 Archer Daniels Midland Co , the U.S. agribusiness group, said it would buy a corn wet mill in Morocco from Tate & Lyle in the latest effort to boost its footprint in the sweetener and starch market after expanding in Eastern Europe last year.  
BAC,Allianz, Bank of America invest in U.S. wind farmsUPDATE 1-Allianz, Bank of America invest in U.S. wind farms * Insurers increase spending on renewable assets   (Recasts, adds details, background)  UPDATE 1-Allianz, Bank of America invest in U.S. wind farms * Insurers increase spending on renewable assets   (Recasts, adds details, background) FRANKFURT, Feb 8 Allianz and Bank of America are investing in two U.S. wind parks developed by French utility EDF, the German insurer said on Monday.UPDATE 1-Allianz, Bank of America invest in U.S. wind farms * Insurers increase spending on renewable assets   (Recasts, adds details, background)  
BA,UN agency seeks to end rift on new aircraft emission rulesU.N. agency seeks to end rift on new aircraft emission rulesUPDATE 1-What deal on CO2 standards means for Airbus, Boeing jets (Adds timeframe of analysis)     Feb 8 Global aviation leaders agreed on Monday to the world's first carbon dioxide emissions standards for new and existing plane programs starting in 2020, three sources familiar with the matter said.     Experts at the International Civil Aviation Organization (ICAO) had been poring over a set of "stringency options" ranging from 1 to 10. These would curb CO2 emissions from large jetliners from 20 percent in the case of option 1 to 40.4 percent i  UPDATE 1-What deal on CO2 standards means for Airbus, Boeing jets (Adds timeframe of analysis)     Feb 8 Global aviation leaders agreed on Monday to the world's first carbon dioxide emissions standards for new and existing plane programs starting in 2020, three sources familiar with the matter said.     Experts at the International Civil Aviation Organization (ICAO) had been poring over a set of "stringency options" ranging from 1 to 10. These would curb CO2 emissions from large jetliners from 20 percent in the case of option 1 to 40.4 percent i MONTREAL/WASHINGTON Europe and the United States tried to bridge differences over emissions standards for aircraft on Sunday as global aviation leaders prepared to adopt new rules that could affect Boeing Co and Airbus Group's production of the largest jetliners and freighters.UPDATE 1-What deal on CO2 standards means for Airbus, Boeing jets (Adds timeframe of analysis)     Feb 8 Global aviation leaders agreed on Monday to the world's first carbon dioxide emissions standards for new and existing plane programs starting in 2020, three sources familiar with the matter said.     Experts at the International Civil Aviation Organization (ICAO) had been poring over a set of "stringency options" ranging from 1 to 10. These would curb CO2 emissions from large jetliners from 20 percent in the case of option 1 to 40.4 percent i   U.N. agency seeks to end rift on new aircraft emission rulesUPDATE 1-What deal on CO2 standards means for Airbus, Boeing jets (Adds timeframe of analysis)     Feb 8 Global aviation leaders agreed on Monday to the world's first carbon dioxide emissions standards for new and existing plane programs starting in 2020, three sources familiar with the matter said.     Experts at the International Civil Aviation Organization (ICAO) had been poring over a set of "stringency options" ranging from 1 to 10. These would curb CO2 emissions from large jetliners from 20 percent in the case of option 1 to 40.4 percent i  UPDATE 1-What deal on CO2 standards means for Airbus, Boeing jets (Adds timeframe of analysis)     Feb 8 Global aviation leaders agreed on Monday to the world's first carbon dioxide emissions standards for new and existing plane programs starting in 2020, three sources familiar with the matter said.     Experts at the International Civil Aviation Organization (ICAO) had been poring over a set of "stringency options" ranging from 1 to 10. These would curb CO2 emissions from large jetliners from 20 percent in the case of option 1 to 40.4 percent i MONTREAL/WASHINGTON Europe and the United States tried to bridge differences over emissions standards for aircraft on Sunday as global aviation leaders prepared to adopt new rules that could affect Boeing Co and Airbus Group's production of the largest jetliners and freighters.UPDATE 1-What deal on CO2 standards means for Airbus, Boeing jets (Adds timeframe of analysis)     Feb 8 Global aviation leaders agreed on Monday to the world's first carbon dioxide emissions standards for new and existing plane programs starting in 2020, three sources familiar with the matter said.     Experts at the International Civil Aviation Organization (ICAO) had been poring over a set of "stringency options" ranging from 1 to 10. These would curb CO2 emissions from large jetliners from 20 percent in the case of option 1 to 40.4 percent i  MONTREAL/WASHINGTON, Feb 7 Europe and the United States tried to bridge differences over emissions standards for aircraft on Sunday as global aviation leaders prepared to adopt new rules that could affect Boeing Co and Airbus Group's  production of the largest jetliners and freighters.U.N. agency seeks to end rift on new aircraft emission rulesUPDATE 1-What deal on CO2 standards means for Airbus, Boeing jets (Adds timeframe of analysis)     Feb 8 Global aviation leaders agreed on Monday to the world's first carbon dioxide emissions standards for new and existing plane programs starting in 2020, three sources familiar with the matter said.     Experts at the International Civil Aviation Organization (ICAO) had been poring over a set of "stringency options" ranging from 1 to 10. These would curb CO2 emissions from large jetliners from 20 percent in the case of option 1 to 40.4 percent i  UPDATE 1-What deal on CO2 standards means for Airbus, Boeing jets (Adds timeframe of analysis)     Feb 8 Global aviation leaders agreed on Monday to the world's first carbon dioxide emissions standards for new and existing plane programs starting in 2020, three sources familiar with the matter said.     Experts at the International Civil Aviation Organization (ICAO) had been poring over a set of "stringency options" ranging from 1 to 10. These would curb CO2 emissions from large jetliners from 20 percent in the case of option 1 to 40.4 percent i MONTREAL/WASHINGTON Europe and the United States tried to bridge differences over emissions standards for aircraft on Sunday as global aviation leaders prepared to adopt new rules that could affect Boeing Co and Airbus Group's production of the largest jetliners and freighters.UPDATE 1-What deal on CO2 standards means for Airbus, Boeing jets (Adds timeframe of analysis)     Feb 8 Global aviation leaders agreed on Monday to the world's first carbon dioxide emissions standards for new and existing plane programs starting in 2020, three sources familiar with the matter said.     Experts at the International Civil Aviation Organization (ICAO) had been poring over a set of "stringency options" ranging from 1 to 10. These would curb CO2 emissions from large jetliners from 20 percent in the case of option 1 to 40.4 percent i   
CHK,CORRECTED-Chesapeake Energy taps restructuring lawyers - sources Feb 8 Natural gas producer Chesapeake Energy  has tapped existing adviser Kirkland & Ellis to explore restructuring options, people familiar with the matter told Reuters. 
CMG,Chipotle stores to be shut for four hours for food safety meetingUPDATE 2-Chipotle stores shut nationwide for staff food safety meetingUPDATE 3-Chipotle shuts U.S. stores for food safety meeting, rivals pounce Feb 8 Chipotle Mexican Grill closed all of its U.S. restaurants during prime lunchtime hours on Monday to hold staff meetings on food safety guidelines, sparking offers from rivals eager to poach customers of the burrito chain as it recovers from several food-borne outbreaks.  UPDATE 3-Chipotle shuts U.S. stores for food safety meeting, rivals pounce Feb 8 Chipotle Mexican Grill closed all of its U.S. restaurants during prime lunchtime hours on Monday to hold staff meetings on food safety guidelines, sparking offers from rivals eager to poach customers of the burrito chain as it recovers from several food-borne outbreaks. Feb 8 Chipotle Mexican Grill shut its stores for four hours on Monday to hold a nationwide staff meeting, where Chief Executive Steve Ells apologized for E.coli and norovirus outbreaks and laid out the company's recently developed food safety program.UPDATE 3-Chipotle shuts U.S. stores for food safety meeting, rivals pounce Feb 8 Chipotle Mexican Grill closed all of its U.S. restaurants during prime lunchtime hours on Monday to hold staff meetings on food safety guidelines, sparking offers from rivals eager to poach customers of the burrito chain as it recovers from several food-borne outbreaks.   UPDATE 2-Chipotle stores shut nationwide for staff food safety meetingUPDATE 3-Chipotle shuts U.S. stores for food safety meeting, rivals pounce Feb 8 Chipotle Mexican Grill closed all of its U.S. restaurants during prime lunchtime hours on Monday to hold staff meetings on food safety guidelines, sparking offers from rivals eager to poach customers of the burrito chain as it recovers from several food-borne outbreaks.  UPDATE 3-Chipotle shuts U.S. stores for food safety meeting, rivals pounce Feb 8 Chipotle Mexican Grill closed all of its U.S. restaurants during prime lunchtime hours on Monday to hold staff meetings on food safety guidelines, sparking offers from rivals eager to poach customers of the burrito chain as it recovers from several food-borne outbreaks. Feb 8 Chipotle Mexican Grill shut its stores for four hours on Monday to hold a nationwide staff meeting, where Chief Executive Steve Ells apologized for E.coli and norovirus outbreaks and laid out the company's recently developed food safety program.UPDATE 3-Chipotle shuts U.S. stores for food safety meeting, rivals pounce Feb 8 Chipotle Mexican Grill closed all of its U.S. restaurants during prime lunchtime hours on Monday to hold staff meetings on food safety guidelines, sparking offers from rivals eager to poach customers of the burrito chain as it recovers from several food-borne outbreaks.  Feb 8 Chipotle Mexican Grill stores will be closed for four hours on Monday for a nation-wide meeting for its restaurant employees on food safety, after several outbreaks of food-borne illnesses linked to the chain.UPDATE 2-Chipotle stores shut nationwide for staff food safety meetingUPDATE 3-Chipotle shuts U.S. stores for food safety meeting, rivals pounce Feb 8 Chipotle Mexican Grill closed all of its U.S. restaurants during prime lunchtime hours on Monday to hold staff meetings on food safety guidelines, sparking offers from rivals eager to poach customers of the burrito chain as it recovers from several food-borne outbreaks.  UPDATE 3-Chipotle shuts U.S. stores for food safety meeting, rivals pounce Feb 8 Chipotle Mexican Grill closed all of its U.S. restaurants during prime lunchtime hours on Monday to hold staff meetings on food safety guidelines, sparking offers from rivals eager to poach customers of the burrito chain as it recovers from several food-borne outbreaks. Feb 8 Chipotle Mexican Grill shut its stores for four hours on Monday to hold a nationwide staff meeting, where Chief Executive Steve Ells apologized for E.coli and norovirus outbreaks and laid out the company's recently developed food safety program.UPDATE 3-Chipotle shuts U.S. stores for food safety meeting, rivals pounce Feb 8 Chipotle Mexican Grill closed all of its U.S. restaurants during prime lunchtime hours on Monday to hold staff meetings on food safety guidelines, sparking offers from rivals eager to poach customers of the burrito chain as it recovers from several food-borne outbreaks.   
