ACN,Day, Fowler, Els and Dubuisson into last four Jason Day and Ernie Els advanced with relative ease while American Rickie Fowler and Frenchman Victor Dubuisson had to fight hard to reach the WGC-Accenture Match Play Championship semi-finals in Marana, Arizona on Saturday. 
AMZN,G20 agrees on push to close tax loopholes, make multinationals pay   
AAPL,G20 agrees on push to close tax loopholes, make multinationals pay   
T,Comcast customers to see improved Netflix speedsRPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.   RPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  Feb 23 Comcast Corp customers are about to get improved streaming service from Netflix  after the two companies announced on Sunday an agreement to give Netflix a direct connection to the broadband provider.RPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.   
CMCSA,Comcast customers to see improved Netflix speedsRPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.   RPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  Feb 23 Comcast Corp customers are about to get improved streaming service from Netflix  after the two companies announced on Sunday an agreement to give Netflix a direct connection to the broadband provider.RPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.   
INTC,Alcatel vows to stay out of telecom gear price war, signs Intel deal BARCELONA, Feb 23 Alcatel-Lucent said it would stay out of a brewing price war in the telecom equipment market and set itself apart with better service and new products, including those from a new partnership announced on Sunday with Intel Corp. 
NFLX,Comcast customers to see improved Netflix speedsRPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.   RPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  Feb 23 Comcast Corp customers are about to get improved streaming service from Netflix  after the two companies announced on Sunday an agreement to give Netflix a direct connection to the broadband provider.RPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.   
SBUX,G20 agrees on push to close tax loopholes, make multinationals pay   
VZ,Comcast customers to see improved Netflix speedsRPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.   RPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  Feb 23 Comcast Corp customers are about to get improved streaming service from Netflix  after the two companies announced on Sunday an agreement to give Netflix a direct connection to the broadband provider.RPT-Comcast customers to see improved Netflix speedsUPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.  UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service. (Repeats story to additional clients with no change to text)UPDATE 2-Netflix to pay Comcast for faster speeds Feb 23 Netflix  has agreed to pay one of the largest broadband providers in the United States Comcast Corp for faster speeds, throwing open the possibility that more content companies will have to shell out for better service.   
