GM,UPDATE 1-Auto parts maker American Axle shares soar after results Feb 12 U.S. auto parts maker American Axle & Manufacturing Holdings Inc shares rose more than 23 percent on Friday after it repeated its forecast for higher revenue after a record 2015. 
JPM,UPDATE 2-JPMorgan's Dimon buys more than $25 mln of company stock NEW YORK, Feb 11 Jamie Dimon, chief executive officer of JPMorgan Chase & Co, on Thursday bought 500,000 shares of the company's stock for more than $25 million, according to a filing with the U.S. Securities and Exchange Commission. 
KSS,Department store operator Kohl's eliminates 3 senior positionsUPDATE 1-Department store operator Kohl's eliminates 3 senior positions Feb 12 Department store chain operator Kohl's Corp said it was eliminating three senior positions, including chief digital officer, to create a more "nimble organization".  UPDATE 1-Department store operator Kohl's eliminates 3 senior positions Feb 12 Department store chain operator Kohl's Corp said it was eliminating three senior positions, including chief digital officer, to create a more "nimble organization". Feb 12 Department store chain operator Kohl's Corp said it was eliminating three senior positions, including chief digital officer, to create a more "nimble organization".UPDATE 1-Department store operator Kohl's eliminates 3 senior positions Feb 12 Department store chain operator Kohl's Corp said it was eliminating three senior positions, including chief digital officer, to create a more "nimble organization".  
LMT,Boeing uses an accounting method that others have left behind NEW YORK, Feb 12 The type of accounting Boeing Co uses to reflect the enormous upfront costs of building its jetliners is unusual among large U.S. corporations and leaves a lot of judgment up to the company, accounting experts said. 
MON,Argentine farmers take Monsanto seed complaint to regulatorsUPDATE 1-Argentine farmers take Monsanto seed complaint to regulators BUENOS AIRES, Feb 12 Argentina's main farm group on Friday took complaints against Monsanto Co to local regulators, accusing the company of abusing its dominant position in the market by ordering exporters to inspect soy cargos for second-generation genetically modified seeds.  UPDATE 1-Argentine farmers take Monsanto seed complaint to regulators BUENOS AIRES, Feb 12 Argentina's main farm group on Friday took complaints against Monsanto Co to local regulators, accusing the company of abusing its dominant position in the market by ordering exporters to inspect soy cargos for second-generation genetically modified seeds. BUENOS AIRES, Feb 12 Argentina's main farm group on Friday took complaints against Monsanto Co to local regulators, accusing the company of abusing its dominant position in the market by ordering exporters to inspect soy cargos for second-generation genetically modified seeds.UPDATE 1-Argentine farmers take Monsanto seed complaint to regulators BUENOS AIRES, Feb 12 Argentina's main farm group on Friday took complaints against Monsanto Co to local regulators, accusing the company of abusing its dominant position in the market by ordering exporters to inspect soy cargos for second-generation genetically modified seeds.  
NOC,U.S. Air Force: Too early to tell if probe will affect bomber timingCORRECTED (OFFICIAL) -UPDATE 2-U.S. Air Force replaces arms buyer over disclosure issue on Northrop WASHINGTON, Feb 11 The U.S. Air Force said on Thursday it had replaced its acting acquisition chief, Richard Lombardi, after he disclosed that he had failed to report his wife's Northrop Grumman Corp retirement account on his annual financial disclosure form.  CORRECTED (OFFICIAL) -UPDATE 2-U.S. Air Force replaces arms buyer over disclosure issue on Northrop WASHINGTON, Feb 11 The U.S. Air Force said on Thursday it had replaced its acting acquisition chief, Richard Lombardi, after he disclosed that he had failed to report his wife's Northrop Grumman Corp retirement account on his annual financial disclosure form. WASHINGTON, Feb 12 U.S. Air Force Secretary Deborah James on Friday said it was too early to tell if a Pentagon investigation into the behavior of a former senior acquisition official would affect the timetable for an $80 billion bomber program awarded to Northrop Grumman Corp  in October.CORRECTED (OFFICIAL) -UPDATE 2-U.S. Air Force replaces arms buyer over disclosure issue on Northrop WASHINGTON, Feb 11 The U.S. Air Force said on Thursday it had replaced its acting acquisition chief, Richard Lombardi, after he disclosed that he had failed to report his wife's Northrop Grumman Corp retirement account on his annual financial disclosure form.  
PM,Consumer companies' outperformance no longer guaranteed by cheap oil LONDON, Feb 12 Consumer companies are offering investors a small degree of relief from the turmoil in banking and resources in a results season dominated by fears about slowing economic growth. 
VLO,Valero Energy sues U.S. EPA over biofuels planValero Energy sues EPA over biofuels planUPDATE 1-Valero Energy sues U.S. EPA over biofuels planCalifornia planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection. NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.   UPDATE 1-Valero Energy sues U.S. EPA over biofuels planCalifornia planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection. NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  Valero Energy Corp filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.UPDATE 1-Valero Energy sues U.S. EPA over biofuels planCalifornia planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection. NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.    Valero Energy sues EPA over biofuels planUPDATE 1-Valero Energy sues U.S. EPA over biofuels planCalifornia planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection. NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.   UPDATE 1-Valero Energy sues U.S. EPA over biofuels planCalifornia planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection. NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  Valero Energy Corp filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.UPDATE 1-Valero Energy sues U.S. EPA over biofuels planCalifornia planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection. NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.   NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.Valero Energy sues EPA over biofuels planUPDATE 1-Valero Energy sues U.S. EPA over biofuels planCalifornia planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection. NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.   UPDATE 1-Valero Energy sues U.S. EPA over biofuels planCalifornia planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection. NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  Valero Energy Corp filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.UPDATE 1-Valero Energy sues U.S. EPA over biofuels planCalifornia planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.  California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection. NEW YORK, Feb 12 Valero Energy Corp  filed lawsuits against the U.S. Environmental Protection Agency on Friday to push the regulator to alter a U.S. policy designed to boost use of renewables in transportation fuels.California planners reject Valero oil-by-rail project HOUSTON, Feb 12 Valero Energy Corp's  proposed oil-by-rail project at its northern California refinery was quashed by local planners this week, the first such facility on the U.S. West Coast to end a years-long wait for permits with a rejection.    
VZ,UPDATE 2-Google says will not participate in 2016 U.S. airwaves auction NEW YORK/SAN FRANCISCO, Feb 12 Alphabet Inc's  Google will not participate in the U.S. Federal Communications Commission's upcoming auction of broadcast airwaves that can help the wireless industry improve coverage, a spokeswoman told Reuters on Friday. 
V,CORRECTED-Visa discloses 9.99 pct stake in Dorsey-led SquareVisa discloses 9.99 percent stake in Dorsey-led Square Visa Inc , the world's largest payments network operator,  disclosed a 9.99 percent holding of Class A shares in mobile payment firm Square Inc .  Visa discloses 9.99 percent stake in Dorsey-led Square Visa Inc , the world's largest payments network operator,  disclosed a 9.99 percent holding of Class A shares in mobile payment firm Square Inc . Feb 11 Visa Inc, the world's largest payments network operator,  disclosed a 9.99 percent holding of Class A shares in mobile payment firm Square Inc.Visa discloses 9.99 percent stake in Dorsey-led Square Visa Inc , the world's largest payments network operator,  disclosed a 9.99 percent holding of Class A shares in mobile payment firm Square Inc .  
