BA,INTERVIEW-Boeing production czar says planemaker won't repeat errorsBoeing production czar says planemaker won't repeat errors SEATTLE Boeing Co  is well-positioned to hit record production targets for its popular 737 jetliner by 2018, having learned from past mistakes, the head of its industrial system told Reuters.  Boeing production czar says planemaker won't repeat errors SEATTLE Boeing Co  is well-positioned to hit record production targets for its popular 737 jetliner by 2018, having learned from past mistakes, the head of its industrial system told Reuters. SEATTLE, March 15 Boeing Co is well-positioned to hit record production targets for its popular 737 jetliner by 2018, having learned from past mistakes, the head of its industrial system told Reuters.Boeing production czar says planemaker won't repeat errors SEATTLE Boeing Co  is well-positioned to hit record production targets for its popular 737 jetliner by 2018, having learned from past mistakes, the head of its industrial system told Reuters.  
CMCSA,Rand Paul woos donors and hackers at tech conference AUSTIN, Tx., March 16 As his likely rivals spent the weekend shaking hands in New Hampshire, potential Republican candidate Rand Paul flew to Texas to court the software developers and entrepreneurs who are likely to play a central role in the 2016 election. 
DD,Trian says DuPont's shareholders show strong interest for Trian nomineeUPDATE 2-Trian says DuPont shareholders back push for board seat March 16 Trian Fund Management LP said there was "strong interest" among large DuPont shareholders to add to the chemical conglomerate's board a "Trian principal", a reference to the hedge fund's Chief Executive Nelson Peltz.  UPDATE 2-Trian says DuPont shareholders back push for board seat March 16 Trian Fund Management LP said there was "strong interest" among large DuPont shareholders to add to the chemical conglomerate's board a "Trian principal", a reference to the hedge fund's Chief Executive Nelson Peltz. March 16 Trian Fund Management LP said there was "strong interest" among large DuPont shareholders for a representative from the hedge fund to join the chemical conglomerate's board.UPDATE 2-Trian says DuPont shareholders back push for board seat March 16 Trian Fund Management LP said there was "strong interest" among large DuPont shareholders to add to the chemical conglomerate's board a "Trian principal", a reference to the hedge fund's Chief Executive Nelson Peltz.  
FCX,Credit Suisse settles Freeport-McMoRan litigation for $16.25 mln March 16 Credit Suisse Group Inc will pay $10 million in cash and provide $6.25 million worth of advisory work to Freeport-McMoRan Inc to settle allegations it contributed to the natural resources company having overpaid significantly for two oil and gas companies. 
GE,Bouygues delays nomination of GE's Gaymard to boardBouygues delays nomination of GE's Gaymard to boardGE's Immelt touts value of conglomerate's scale to investors March 16 General Electric Co Chief Executive Officer Jeff Immelt is sticking by his company's model for housing diverse businesses under one roof at a time when other U.S. conglomerates are looking at hiving off units to please investors.  GE's Immelt touts value of conglomerate's scale to investors March 16 General Electric Co Chief Executive Officer Jeff Immelt is sticking by his company's model for housing diverse businesses under one roof at a time when other U.S. conglomerates are looking at hiving off units to please investors. PARIS Bouygues  said on Monday that it had postponed a proposal for Clara Gaymard, head of General Electric  in France, to join the board of the French construction group.GE's Immelt touts value of conglomerate's scale to investors March 16 General Electric Co Chief Executive Officer Jeff Immelt is sticking by his company's model for housing diverse businesses under one roof at a time when other U.S. conglomerates are looking at hiving off units to please investors.   Bouygues delays nomination of GE's Gaymard to boardGE's Immelt touts value of conglomerate's scale to investors March 16 General Electric Co Chief Executive Officer Jeff Immelt is sticking by his company's model for housing diverse businesses under one roof at a time when other U.S. conglomerates are looking at hiving off units to please investors.  GE's Immelt touts value of conglomerate's scale to investors March 16 General Electric Co Chief Executive Officer Jeff Immelt is sticking by his company's model for housing diverse businesses under one roof at a time when other U.S. conglomerates are looking at hiving off units to please investors. PARIS Bouygues  said on Monday that it had postponed a proposal for Clara Gaymard, head of General Electric  in France, to join the board of the French construction group.GE's Immelt touts value of conglomerate's scale to investors March 16 General Electric Co Chief Executive Officer Jeff Immelt is sticking by his company's model for housing diverse businesses under one roof at a time when other U.S. conglomerates are looking at hiving off units to please investors.  PARIS, March 16 Bouygues said on Monday that it had postponed a proposal for Clara Gaymard, head of General Electric in France, to join the board of the French construction group.Bouygues delays nomination of GE's Gaymard to boardGE's Immelt touts value of conglomerate's scale to investors March 16 General Electric Co Chief Executive Officer Jeff Immelt is sticking by his company's model for housing diverse businesses under one roof at a time when other U.S. conglomerates are looking at hiving off units to please investors.  GE's Immelt touts value of conglomerate's scale to investors March 16 General Electric Co Chief Executive Officer Jeff Immelt is sticking by his company's model for housing diverse businesses under one roof at a time when other U.S. conglomerates are looking at hiving off units to please investors. PARIS Bouygues  said on Monday that it had postponed a proposal for Clara Gaymard, head of General Electric  in France, to join the board of the French construction group.GE's Immelt touts value of conglomerate's scale to investors March 16 General Electric Co Chief Executive Officer Jeff Immelt is sticking by his company's model for housing diverse businesses under one roof at a time when other U.S. conglomerates are looking at hiving off units to please investors.   
GM,GM gets 4,342 total claims for faulty ignition switch compensationGM gets 4,342 total claims for faulty ignition switch compensation General Motors Co has received 4,342 claims for compensation related to ignition switch defects in its cars, according to the lawyer overseeing the compensation program.  GM gets 4,342 total claims for faulty ignition switch compensation General Motors Co has received 4,342 claims for compensation related to ignition switch defects in its cars, according to the lawyer overseeing the compensation program. March 16 General Motors Co has received 4,342 claims for compensation related to ignition switch defects in its cars, according to the lawyer overseeing the compensation program.GM gets 4,342 total claims for faulty ignition switch compensation General Motors Co has received 4,342 claims for compensation related to ignition switch defects in its cars, according to the lawyer overseeing the compensation program.  
JNJ,CORRECTED-Independent panel recommends unblinding study after Imbruvica shows clear benefitUPDATE 1-Pharmacyclics cancer drug successful as combination therapy - independent panel March 16 An independent panel recommended unblinding a late-stage study testing Pharmacyclics Inc  and Johnson & Johnson's Imbruvica, after the treatment was successful against two similar forms of cancer in combination with other drugs.  UPDATE 1-Pharmacyclics cancer drug successful as combination therapy - independent panel March 16 An independent panel recommended unblinding a late-stage study testing Pharmacyclics Inc  and Johnson & Johnson's Imbruvica, after the treatment was successful against two similar forms of cancer in combination with other drugs. March 16 An independent panel recommended unblinding a late-stage study testing Pharmacyclics Inc  and Johnson & Johnson's Imbruvica, after the treatment was successful in treating two types of cancer in combination with other drugs.UPDATE 1-Pharmacyclics cancer drug successful as combination therapy - independent panel March 16 An independent panel recommended unblinding a late-stage study testing Pharmacyclics Inc  and Johnson & Johnson's Imbruvica, after the treatment was successful against two similar forms of cancer in combination with other drugs.  
MCD,McDonald's workers claim hazardous conditions in 19 U.S. citiesUPDATE 1-McDonald's workers claim hazardous conditions in 19 U.S. citiesMcDonald's workers claim hazardous conditions in 19 U.S. cities McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil.  McDonald's workers claim hazardous conditions in 19 U.S. cities McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil. March 16 McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil.McDonald's workers claim hazardous conditions in 19 U.S. cities McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil.   UPDATE 1-McDonald's workers claim hazardous conditions in 19 U.S. citiesMcDonald's workers claim hazardous conditions in 19 U.S. cities McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil.  McDonald's workers claim hazardous conditions in 19 U.S. cities McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil. March 16 McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil.McDonald's workers claim hazardous conditions in 19 U.S. cities McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil.  March 16 McDonald's restaurant workers from 19 U.S. cities said on Monday they have filed 28 health and safety complaints with federal and state regulators, alleging hazardous working conditions that led to severe burns from hot grills and fryer oil.UPDATE 1-McDonald's workers claim hazardous conditions in 19 U.S. citiesMcDonald's workers claim hazardous conditions in 19 U.S. cities McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil.  McDonald's workers claim hazardous conditions in 19 U.S. cities McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil. March 16 McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil.McDonald's workers claim hazardous conditions in 19 U.S. cities McDonald's Corp restaurant workers from 19 U.S. cities complained to regulators on Monday that their working conditions are hazardous and have led to severe burns from hot grills and fryer oil.   
MS,Rosneft working on giant oil deal with trader Trafigura - sources MOSCOW/LONDON Trading house Trafigura is set to become the largest exporter of oil from Russian state-owned energy major Rosneft under a deal it is negotiating with the sanctions-hit company, industry sources told Reuters. 
RTN,Raytheon in talks to buy Websense Inc - BloombergUPDATE 1-Raytheon in talks to buy Websense Inc - Bloomberg March 16 U.S. arms maker Raytheon Co is in talks to buy network-security company Websense Inc, owned by private-equity firm Vista Equity Partners LLC, Bloomberg reported citing people familiar with the matter.  UPDATE 1-Raytheon in talks to buy Websense Inc - Bloomberg March 16 U.S. arms maker Raytheon Co is in talks to buy network-security company Websense Inc, owned by private-equity firm Vista Equity Partners LLC, Bloomberg reported citing people familiar with the matter. March 16 U.S. arms maker Raytheon Co is in talks to buy network-security company Websense Inc, owned by private-equity firm Vista Equity Partners LLC, Bloomberg reported citing people familiar with the matter.UPDATE 1-Raytheon in talks to buy Websense Inc - Bloomberg March 16 U.S. arms maker Raytheon Co is in talks to buy network-security company Websense Inc, owned by private-equity firm Vista Equity Partners LLC, Bloomberg reported citing people familiar with the matter.  
VZ,Rand Paul woos donors and hackers at tech conference AUSTIN, Tx., March 16 As his likely rivals spent the weekend shaking hands in New Hampshire, potential Republican candidate Rand Paul flew to Texas to court the software developers and entrepreneurs who are likely to play a central role in the 2016 election. 
