ABBV,BRIEF-AbbVie's Humira receives CHMP positive opinion to treat non-infectious uveitisUPDATE 1-Biogen, AbbVie once-monthly MS injection wins U.S. approval May 27 The U.S. Food and Drug Administration on Friday approved a once-monthly injection for multiple sclerosis from Biogen Inc and AbbVie Inc, with a boxed warning.  UPDATE 1-Biogen, AbbVie once-monthly MS injection wins U.S. approval May 27 The U.S. Food and Drug Administration on Friday approved a once-monthly injection for multiple sclerosis from Biogen Inc and AbbVie Inc, with a boxed warning. * AbbVie's Humira receives CHMP positive opinion to treat certain forms of non-infectious uveitis, a disease that can severely impact visionUPDATE 1-Biogen, AbbVie once-monthly MS injection wins U.S. approval May 27 The U.S. Food and Drug Administration on Friday approved a once-monthly injection for multiple sclerosis from Biogen Inc and AbbVie Inc, with a boxed warning.  
AMZN,REFILE-India's Tata Group enters ecommerce market with apparel and electronics website MUMBAI, May 27 India's biggest conglomerate Tata Group launched an ecommerce venture on Friday, as it seeks to cash in on rising purchasing power in a market dominated by deep-pocketed international retailers and startups backed by global tech investors. 
BHI,U.S. oil drillers cut rigs despite $50 crude -Baker Hughes By Scott DiSavino     May 27 U.S. oil drillers cut rigs for a ninth week in the last 10, energy services company Baker Hughes Inc  said on Friday, despite crude prices this week testing a seven-month high at $50 a barrel.     That is a key level that analysts and producers said would trigger a return to the well pad.     Drillers cut 2 oil rigs in the week to May 27, bringing the total rig count down to 316, the lowest level since October 2009 and about half the 646 rigs a year ago,  
BAX,UPDATE 1-Theranos sued over blood tests, in proposed class actionTheranos sued over blood tests, in proposed class action Blood-testing company Theranos Inc was sued on Thursday, accused of endangering customer health through "massive failures" that misrepresented the accuracy and quality of its blood tests, according to court papers.  Theranos sued over blood tests, in proposed class action Blood-testing company Theranos Inc was sued on Thursday, accused of endangering customer health through "massive failures" that misrepresented the accuracy and quality of its blood tests, according to court papers. May 26 Blood-testing company Theranos Inc was sued on Thursday, accused of endangering customer health through "massive failures" that misrepresented the accuracy and quality of its blood tests, according to court papers.Theranos sued over blood tests, in proposed class action Blood-testing company Theranos Inc was sued on Thursday, accused of endangering customer health through "massive failures" that misrepresented the accuracy and quality of its blood tests, according to court papers.  
BIIB,UPDATE 1-Biogen, AbbVie once-monthly MS injection wins U.S. approval May 27 The U.S. Food and Drug Administration on Friday approved a once-monthly injection for multiple sclerosis from Biogen Inc and AbbVie Inc, with a boxed warning. 
BLK,MOVES-BlackRock moving longtime ETF sales executive to stock-picking business NEW YORK, May 26 Daniel Gamba, a senior iShares executive who helped broaden the market for exchange-traded funds at parent company BlackRock Inc, is to move to the stock picking side of the business, according to a memo seen by Reuters. 
BA,U.S. Air Force says Boeing will delay delivery of KC-46 tankers NEW YORK, May 27 The U.S. Air Force and Boeing Co announced on Friday a delay in delivering an initial batch of KC-46 aerial refueling tankers. 
CBS,BRIEF-S&P; says Viacom's Management and governance assessment revised to fair * Viacom inc. Management and governance assessment revised to fair from satisfactory; 'BBB-' rating affirmed 
CI,Fitch Maintains Cigna on Rating Watch Negative (The following statement was released by the rating agency) CHICAGO, May 27 (Fitch) Fitch Ratings has maintained the Rating Watch Negative  for Cigna Corporation's (Cigna) 'A-' Issuer Default Rating (IDR), 'BBB+' senior  unsecured notes, and the 'A+' Insurer Financial Strength (IFS) ratings of  certain subsidiaries.  Today's action follows the completion of a periodic review of Cigna's ratings.  Fitch had placed Cigna's ratings on Negative Watch on July 24, 2015 following  the announcement of a  
FB,Facebook expands ads on third-party apps, websites to beyond users May 27 Facebook Inc said its customers' ads would now be visible on third-party apps and websites to everyone who has ever visited its website, and not just to users logged into its social networking service. 
FCX,Citic Metal in talks to buy Freeport Americas stake - Bloomberg May 27 China's Citic Metal Co is in talks with Freeport-McMoRan Inc to buy a minority stake in the miner's North and South American operations, Bloomberg reported, citing people familiar with the matter. 
GILD,EU regulators recommend approving Gilead's new hepatitis C drugEU regulators recommend approving Gilead's new hepatitis C drug Gilead Sciences Inc's new hepatitis C drug combination, which shares an active ingredient with blockbuster Sovaldi, was recommended for marketing approval by the European Medicines Agency.  EU regulators recommend approving Gilead's new hepatitis C drug Gilead Sciences Inc's new hepatitis C drug combination, which shares an active ingredient with blockbuster Sovaldi, was recommended for marketing approval by the European Medicines Agency. May 27 Gilead Sciences Inc's new hepatitis C drug combination, which shares an active ingredient with blockbuster Sovaldi, was recommended for marketing approval by the European Medicines Agency.EU regulators recommend approving Gilead's new hepatitis C drug Gilead Sciences Inc's new hepatitis C drug combination, which shares an active ingredient with blockbuster Sovaldi, was recommended for marketing approval by the European Medicines Agency.  
MRO,China's Baosteel Group says U.S. breaking WTO rulesReuters Business News Schedule at 0830 GMT/0430 AM ET ISE-SHIMA, Japan - The Group of Seven industrial powers pledge to seek strong global growth, while papering over differences on currencies and stimulus policies and expressing concern over North Korea, Russia and maritime disputes involving China. (G7-SUMMIT/ (UPDATE 4, PICTURES, TV), moved, by Tetsushi Kajimoto, 660 words)  Reuters Business News Schedule at 0830 GMT/0430 AM ET ISE-SHIMA, Japan - The Group of Seven industrial powers pledge to seek strong global growth, while papering over differences on currencies and stimulus policies and expressing concern over North Korea, Russia and maritime disputes involving China. (G7-SUMMIT/ (UPDATE 4, PICTURES, TV), moved, by Tetsushi Kajimoto, 660 words) SHANGHAI China's Baosteel Group on Friday accused the United States of breaking WTO rules and vowed to appeal against a U.S. investigation of the company, in a statement on its website.Reuters Business News Schedule at 0830 GMT/0430 AM ET ISE-SHIMA, Japan - The Group of Seven industrial powers pledge to seek strong global growth, while papering over differences on currencies and stimulus policies and expressing concern over North Korea, Russia and maritime disputes involving China. (G7-SUMMIT/ (UPDATE 4, PICTURES, TV), moved, by Tetsushi Kajimoto, 660 words)  
