AMZN,CORRECTED-Jeff Bezos's wife and Amazon slam new book about company (Corrects fifth paragraph to say Bezos, not Amazon, did not cooperate on fact-checking) 
APC,September floods keep some Anadarko wells offline HOUSTON, Nov 5 Anadarko Petroleum Corp  said on Tuesday that 250 of its wells in the Wattenberg area in northeastern Colorado are still shut in following heavy flooding in September. 
AAPL,Apple to open manufacturing plant in ArizonaApple to open manufacturing plant in ArizonaHTC expects revenue to drop in Q4US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  TAIPEI, Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.    HTC expects revenue to drop in Q4US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  TAIPEI, Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   Apple Inc will open a manufacturing facility in Arizona in partnership with mineral crystal specialist GT Advanced Technologies Inc to make sapphire materials for Apple's popular electronics devices.HTC expects revenue to drop in Q4US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  TAIPEI, Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.     Apple to open manufacturing plant in ArizonaHTC expects revenue to drop in Q4US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  TAIPEI, Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.    HTC expects revenue to drop in Q4US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  TAIPEI, Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   Apple Inc will open a manufacturing facility in Arizona in partnership with mineral crystal specialist GT Advanced Technologies Inc to make sapphire materials for Apple's popular electronics devices.HTC expects revenue to drop in Q4US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  TAIPEI, Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.    Nov 4 Apple Inc will open a manufacturing facility in Arizona in partnership with mineral crystal specialist GT Advanced Technologies Inc to make sapphire materials for Apple's popular electronics devices.Apple to open manufacturing plant in ArizonaHTC expects revenue to drop in Q4US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  TAIPEI, Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.    HTC expects revenue to drop in Q4US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  TAIPEI, Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   Apple Inc will open a manufacturing facility in Arizona in partnership with mineral crystal specialist GT Advanced Technologies Inc to make sapphire materials for Apple's popular electronics devices.HTC expects revenue to drop in Q4US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.   US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  TAIPEI, Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.US STOCKS-Wall St declines on profit taking after two-day climbInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.  Investors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday. * Indexes off: Dow 0.56 pct, S&P; 0.52 pct, Nasdaq 0.45 pctInvestors eye Samsung's cash pile at rare strategy briefing SEOUL, Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.     
T,CORRECTED-UPDATE 2-T-Mobile US Q3 subscriber growth tops Street; shares riseUPDATE 3-T-Mobile US Q3 subscriber growth tops Street estimate Nov 5 T-Mobile US Inc, the No. 4 U.S. mobile provider, reported much better-than-expected subscriber growth, outpacing bigger rival AT&T; and also putting pressure on other competitors, including market leader Verizon Wireless.  UPDATE 3-T-Mobile US Q3 subscriber growth tops Street estimate Nov 5 T-Mobile US Inc, the No. 4 U.S. mobile provider, reported much better-than-expected subscriber growth, outpacing bigger rival AT&T; and also putting pressure on other competitors, including market leader Verizon Wireless. (Corrects year-ago GAAP revenue to $4.89 billion, not $4.26 bln; error also occurred in update 1)UPDATE 3-T-Mobile US Q3 subscriber growth tops Street estimate Nov 5 T-Mobile US Inc, the No. 4 U.S. mobile provider, reported much better-than-expected subscriber growth, outpacing bigger rival AT&T; and also putting pressure on other competitors, including market leader Verizon Wireless.  
BDX,Becton Dickinson quarterly profit beats expectations Nov 5 Medical technology company Becton Dickinson & Co said on Tuesday that quarterly net income fell as costs rose sharply, but after excluding litigation charges and pension settlements, the results were higher than analysts had expected. 
