ADBE,CORRECTED-UPDATE 3-Adobe shares soar after Fotolia buy, Creative Cloud jump (Corrects paragraph 6 to replace "products such as" with "a feature in") 
AET,INSIGHT-US corporate health exchanges find no new blue chip clientsU.S. corporate health exchanges find no new blue chip clients NEW YORK Healthcare companies including Aetna Inc, Mercer and Towers Watson Co have invested hundreds of millions of dollars to build exchanges that allow company employees to buy their own insurance, betting that Corporate America wants to get out of managing workers' health benefits.  U.S. corporate health exchanges find no new blue chip clients NEW YORK Healthcare companies including Aetna Inc, Mercer and Towers Watson Co have invested hundreds of millions of dollars to build exchanges that allow company employees to buy their own insurance, betting that Corporate America wants to get out of managing workers' health benefits. NEW YORK, Dec 15 Healthcare companies including Aetna Inc, Mercer and Towers Watson Co have invested hundreds of millions of dollars to build exchanges that allow company employees to buy their own insurance, betting that Corporate America wants to get out of managing workers' health benefits.U.S. corporate health exchanges find no new blue chip clients NEW YORK Healthcare companies including Aetna Inc, Mercer and Towers Watson Co have invested hundreds of millions of dollars to build exchanges that allow company employees to buy their own insurance, betting that Corporate America wants to get out of managing workers' health benefits.  
GOOGL,Google faces $18 mln fine for web privacy violations - Dutch watchdogGoogle faces $18 million fine for web privacy violations: Dutch watchdogEx-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.  Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test. AMSTERDAM Google  could be fined up 15 million euros ($18.6 million) if it does not stop violating the privacy of Internet users in the Netherlands, the Dutch data protection agency said on Monday.Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.   Google faces $18 million fine for web privacy violations: Dutch watchdogEx-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.  Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test. AMSTERDAM Google  could be fined up 15 million euros ($18.6 million) if it does not stop violating the privacy of Internet users in the Netherlands, the Dutch data protection agency said on Monday.Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.  AMSTERDAM, Dec 15 Google could be fined up 15 million euros ($18.6 million) if it does not stop violating the privacy of Internet users in the Netherlands, the Dutch data protection agency said on Monday.Google faces $18 million fine for web privacy violations: Dutch watchdogEx-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.  Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test. AMSTERDAM Google  could be fined up 15 million euros ($18.6 million) if it does not stop violating the privacy of Internet users in the Netherlands, the Dutch data protection agency said on Monday.Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.   
GOOG,Google faces $18 mln fine for web privacy violations - Dutch watchdogGoogle faces $18 million fine for web privacy violations: Dutch watchdogEx-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.  Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test. AMSTERDAM Google  could be fined up 15 million euros ($18.6 million) if it does not stop violating the privacy of Internet users in the Netherlands, the Dutch data protection agency said on Monday.Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.   Google faces $18 million fine for web privacy violations: Dutch watchdogEx-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.  Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test. AMSTERDAM Google  could be fined up 15 million euros ($18.6 million) if it does not stop violating the privacy of Internet users in the Netherlands, the Dutch data protection agency said on Monday.Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.  AMSTERDAM, Dec 15 Google could be fined up 15 million euros ($18.6 million) if it does not stop violating the privacy of Internet users in the Netherlands, the Dutch data protection agency said on Monday.Google faces $18 million fine for web privacy violations: Dutch watchdogEx-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.  Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test. AMSTERDAM Google  could be fined up 15 million euros ($18.6 million) if it does not stop violating the privacy of Internet users in the Netherlands, the Dutch data protection agency said on Monday.Ex-Google employees launch app to make you smarter about health, fitness SAN FRANCISCO, Dec 15 A group of former Google employees are betting they can boost the world's medical knowledge with a mobile IQ test.   
