AAPL,Apple boss Cook meets PM Modi to plot India strategy NEW DELHI/MUMBAI, May 21 Apple Inc  chief Tim Cook met Indian Prime Minister Narendra Modi on Saturday, concluding a four-day trip to India that could set the stage for Apple's expansion plans in one of the world's fastest growing smartphone markets. 
CBS,Sumner Redstone removes Viacom CEO and board member from trustUPDATE 1-Sumner Redstone removes Viacom CEO and board member from trustSumner Redstone removes Viacom CEO and board member from trustViacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul. Media mogul Sumner Redstone has removed Viacom  CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS  in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.   Sumner Redstone removes Viacom CEO and board member from trustViacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul. Media mogul Sumner Redstone has removed Viacom  CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS  in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  May 20 Media mogul Sumner Redstone has removed Viacom CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Sumner Redstone removes Viacom CEO and board member from trustViacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul. Media mogul Sumner Redstone has removed Viacom  CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS  in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.    UPDATE 1-Sumner Redstone removes Viacom CEO and board member from trustSumner Redstone removes Viacom CEO and board member from trustViacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul. Media mogul Sumner Redstone has removed Viacom  CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS  in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.   Sumner Redstone removes Viacom CEO and board member from trustViacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul. Media mogul Sumner Redstone has removed Viacom  CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS  in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  May 20 Media mogul Sumner Redstone has removed Viacom CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Sumner Redstone removes Viacom CEO and board member from trustViacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul. Media mogul Sumner Redstone has removed Viacom  CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS  in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.   May 20 Media mogul Sumner Redstone has removed Viacom CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.UPDATE 1-Sumner Redstone removes Viacom CEO and board member from trustSumner Redstone removes Viacom CEO and board member from trustViacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul. Media mogul Sumner Redstone has removed Viacom  CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS  in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.   Sumner Redstone removes Viacom CEO and board member from trustViacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul. Media mogul Sumner Redstone has removed Viacom  CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS  in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  May 20 Media mogul Sumner Redstone has removed Viacom CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Sumner Redstone removes Viacom CEO and board member from trustViacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.  Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul. Media mogul Sumner Redstone has removed Viacom  CEO Philippe Dauman and Viacom board member George Abrams from the seven-person trust that will determine the fate of both Viacom and CBS  in the event of his incapacitation or death, two people familiar with the situation told Reuters Friday.Viacom says its board has not had access to Redstone NEW YORK, May 21 Viacom Inc said on Saturday its board members have been unable to meet with controlling shareholder Sumner Redstone because his daughter Shari is blocking access to the media mogul.    
MSFT,Microsoft to crack down on content promoting extremist acts SAN FRANCISCO, May 20 With the world growing more concerned about attacks by militant groups on civilians, Microsoft Corp on Friday outlined new policies to crack down what it called "terrorist content" on some of its consumer services. 
NKE,Soccer-Barcelona agree kit deal extension with Nike MADRID, May 21 Barcelona have agreed an extension to their kit-manufacturing deal with Nike which Spanish media reported was the most lucrative arrangement of its kind in the world. 
