AET,UPDATE 1-Ventas to buy ARC Healthcare in $2.6 bln deal June 2 Ventas Inc, one of the largest U.S. healthcare real estate investment trusts, said it would buy American Realty Capital Healthcare Trust Inc in a cash and stock deal valued at about $2.6 billion. 
AKAM,U.S. top court rules for Limelight over patent infringement WASHINGTON, June 2 The U.S. Supreme Court ruled on Monday in favor of Limelight Networks Inc over claims by Akamai Technologies Inc that it infringed on patented technology for managing Web images and video. 
ALXN,Alexion Pharma recalls certain lots of intravenous drug Soliris June 2 Alexion Pharmaceuticals Inc said it is voluntarily recalling certain lots of Soliris, an intravenous drug for two potentially fatal blood disorders that can damage the kidneys, heart and brain. 
